General : End date,"11/8/2022 12:11 PM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"300.00000",mm/min
General : Start date,"11/8/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.52961","0.03817"
"0.02600","0.56577","0.06138"
"0.05200","0.67784","0.14265"
"0.07800","0.83727","0.21567"
"0.10400","1.00034","0.31318"
"0.13000","1.15382","0.42581"
"0.15600","1.29841","0.51762"
"0.18200","1.43716","0.59887"
"0.20800","1.57232","0.69216"
"0.23400","1.70529","0.76228"
"0.26000","1.83707","0.83343"
"0.28600","1.96816","0.91187"
"0.31200","2.09877","0.98796"
"0.33800","2.22916","1.04951"
"0.36400","2.35929","1.12519"
"0.39000","2.48946","1.20005"
"0.41600","2.61948","1.27329"
"0.44200","2.74950","1.32601"
"0.46800","2.87962","1.38594"
"0.49400","3.00959","1.45575"
"0.52000","3.13961","1.53437"
"0.54600","3.26957","1.59751"
"0.57200","3.39959","1.65396"
"0.59800","3.52961","1.70664"
"0.62400","3.65963","1.76674"
"0.65000","3.78964","1.82780"
"0.67600","3.91961","1.89750"
"0.70200","4.04957","1.96089"
"0.72800","4.17964","2.01233"
"0.75400","4.30961","2.07363"
"0.78000","4.43957","2.12213"
"0.80600","4.56959","2.17986"
"0.83200","4.69961","2.23574"
"0.85800","4.82963","2.28210"
"0.88400","4.95964","2.34427"
"0.91000","5.08961","2.38471"
"0.93600","5.21962","2.44760"
"0.96200","5.34959","2.49458"
"0.98800","5.47961","2.53772"
"1.01400","5.60962","2.58676"
"1.04000","5.73964","2.63209"
"1.06600","5.86961","2.68222"
"1.09200","5.99957","2.73046"
"1.11800","6.12959","2.79007"
"1.14400","6.25955","2.83129"
"1.17000","6.38957","2.86211"
"1.19600","6.51964","2.90495"
"1.22200","6.64961","2.95359"
"1.24800","6.77962","2.99828"
"1.27400","6.90959","3.04481"
"1.30000","7.03955","3.09006"
"1.32600","7.16957","3.13345"
"1.35200","7.29959","3.17400"
"1.37800","7.42961","3.21926"
"1.40400","7.55963","3.26352"
"1.43000","7.68959","3.30974"
"1.45600","7.81961","3.36194"
"1.48200","7.94957","3.41909"
"1.50800","8.07959","3.47231"
"1.53400","8.20961","3.51408"
"1.56000","8.33957","3.57647"
"1.58600","8.46964","3.63109"
"1.61200","8.59961","3.68942"
"1.63800","8.72963","3.76199"
"1.66400","8.85964","3.82350"
"1.69000","8.98961","3.88334"
"1.71600","9.11962","3.95441"
"1.74200","9.24964","4.03260"
"1.76800","9.37961","4.12372"
"1.79400","9.50962","4.19509"
"1.82000","9.63953","4.28028"
"1.84600","9.76961","4.38270"
"1.87200","9.89962","4.48445"
"1.89400","10.00966","4.57513"
