General : End date,"11/8/2022 11:37 AM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"6.00000",mm/min
General : Start date,"11/8/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.28537","0.04485"
"0.02600","0.28580","0.03934"
"0.05200","0.28736","0.03874"
"0.07800","0.29020","0.03791"
"0.10400","0.29373","0.03762"
"0.13000","0.29716","0.03630"
"0.15600","0.30037","0.04010"
"0.18200","0.30332","0.04218"
"0.20800","0.30611","0.04430"
"0.23400","0.30884","0.04353"
"0.26000","0.31152","0.05541"
"0.28600","0.31414","0.06613"
"0.31200","0.31677","0.05951"
"0.33800","0.31934","0.05358"
"0.36400","0.32196","0.04821"
"0.39000","0.32454","0.04755"
"0.41600","0.32716","0.04885"
"0.44200","0.32968","0.06300"
"0.46800","0.33236","0.05919"
"0.49400","0.33493","0.05751"
"0.52000","0.33755","0.05605"
"0.54600","0.34018","0.05564"
"0.57200","0.34286","0.06706"
"0.59800","0.34543","0.06896"
"0.62400","0.34800","0.07323"
"0.65000","0.35057","0.07742"
"0.67600","0.35330","0.07988"
"0.70200","0.35577","0.06845"
"0.72800","0.35839","0.07293"
"0.75400","0.36096","0.07428"
"0.78000","0.36370","0.07330"
"0.80600","0.36616","0.07782"
"0.83200","0.36879","0.06747"
"0.85800","0.37136","0.06813"
"0.88400","0.37398","0.08349"
"0.91000","0.37645","0.08514"
"0.93600","0.37907","0.08694"
"0.96200","0.38170","0.08187"
"0.98800","0.38437","0.07970"
"1.01400","0.38689","0.08632"
"1.04000","0.38952","0.08913"
"1.06600","0.39214","0.08775"
"1.09200","0.39482","0.08867"
"1.11800","0.39739","0.08859"
"1.14400","0.40002","0.09662"
"1.17000","0.40264","0.09159"
"1.19600","0.40527","0.08895"
"1.22200","0.40784","0.09020"
"1.24800","0.41036","0.09477"
"1.27400","0.41304","0.10021"
"1.30000","0.41566","0.11336"
"1.32600","0.41818","0.10803"
"1.35200","0.42075","0.09715"
"1.37800","0.42337","0.09933"
"1.40400","0.42595","0.10360"
"1.43000","0.42846","0.10528"
"1.45600","0.43104","0.10290"
"1.48200","0.43377","0.10058"
"1.50800","0.43634","0.10207"
"1.53400","0.43891","0.11589"
"1.56000","0.44154","0.11329"
"1.58600","0.44416","0.11624"
"1.61200","0.44679","0.11399"
"1.63800","0.44941","0.12310"
"1.66400","0.45198","0.12790"
"1.69000","0.45471","0.11812"
"1.71600","0.45729","0.11719"
"1.74200","0.45991","0.11640"
"1.76800","0.46237","0.11540"
"1.79400","0.46505","0.11517"
"1.82000","0.46762","0.13281"
"1.84600","0.47025","0.12747"
"1.87200","0.47277","0.12330"
"1.89800","0.47545","0.12518"
"1.92400","0.47802","0.13024"
"1.95000","0.48054","0.12758"
"1.97600","0.48311","0.12645"
"2.00200","0.48579","0.12954"
"2.02800","0.48836","0.13535"
"2.05400","0.49098","0.11864"
"2.08000","0.49355","0.11781"
"2.10600","0.49623","0.12489"
"2.13200","0.49875","0.12477"
"2.15800","0.50143","0.13459"
"2.18400","0.50405","0.13823"
"2.21000","0.50673","0.13199"
"2.23600","0.50925","0.12864"
"2.26200","0.51188","0.13351"
"2.28800","0.51445","0.14445"
"2.31400","0.51707","0.13760"
"2.34000","0.51964","0.13695"
"2.36600","0.52227","0.13738"
"2.39200","0.52479","0.13619"
"2.41800","0.52741","0.12918"
"2.44400","0.52998","0.14562"
"2.47000","0.53261","0.15459"
"2.49600","0.53518","0.14736"
"2.52200","0.53775","0.14463"
"2.54800","0.54032","0.13506"
"2.57400","0.54295","0.13976"
"2.60000","0.54557","0.13586"
"2.62600","0.54820","0.13743"
"2.65200","0.55077","0.15718"
"2.67800","0.55339","0.16626"
"2.70400","0.55602","0.15482"
"2.73000","0.55864","0.15811"
"2.75600","0.56121","0.15630"
"2.78200","0.56379","0.15472"
"2.80800","0.56646","0.15309"
"2.83400","0.56898","0.15368"
"2.86000","0.57155","0.15578"
"2.88600","0.57418","0.14968"
"2.91200","0.57686","0.14505"
"2.93800","0.57938","0.15419"
"2.96400","0.58195","0.15444"
"2.99000","0.58452","0.15426"
"3.01600","0.58725","0.15326"
"3.04200","0.58971","0.16616"
"3.06800","0.59229","0.16533"
"3.09400","0.59491","0.16800"
"3.12000","0.59759","0.16582"
"3.14600","0.60011","0.17052"
"3.17200","0.60273","0.17442"
"3.19800","0.60530","0.17622"
"3.22400","0.60804","0.17882"
"3.25000","0.61055","0.17258"
"3.27600","0.61318","0.18078"
"3.30200","0.61575","0.18167"
"3.32800","0.61843","0.18331"
"3.35400","0.62100","0.16796"
"3.38000","0.62357","0.17603"
"3.40600","0.62614","0.18201"
"3.43200","0.62887","0.19343"
"3.45800","0.63139","0.18955"
"3.48400","0.63402","0.18033"
"3.51000","0.63659","0.18765"
"3.53600","0.63927","0.19635"
"3.56200","0.64179","0.19266"
"3.58800","0.64430","0.19338"
"3.61400","0.64688","0.19220"
"3.64000","0.64961","0.19394"
"3.66600","0.65213","0.18498"
"3.69200","0.65475","0.20161"
"3.71800","0.65732","0.19838"
"3.74400","0.66000","0.19746"
"3.77000","0.66257","0.19005"
"3.79600","0.66520","0.19866"
"3.82200","0.66782","0.19568"
"3.84800","0.67045","0.19611"
"3.87400","0.67307","0.20207"
"3.90000","0.67564","0.20918"
