General : End date,"11/8/2022 11:49 AM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"6.00000",mm/min
General : Start date,"11/8/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.03337","0.03402"
"0.02600","0.03380","0.03900"
"0.05200","0.03546","0.04327"
"0.07800","0.03830","0.04215"
"0.10400","0.04179","0.04664"
"0.13000","0.04516","0.05058"
"0.15600","0.04832","0.04618"
"0.18200","0.05127","0.05252"
"0.20800","0.05400","0.05969"
"0.23400","0.05679","0.05370"
"0.26000","0.05946","0.05734"
"0.28600","0.06209","0.05792"
"0.31200","0.06466","0.04398"
"0.33800","0.06739","0.05068"
"0.36400","0.06996","0.05258"
"0.39000","0.07264","0.05412"
"0.41600","0.07521","0.05930"
"0.44200","0.07789","0.06657"
"0.46800","0.08046","0.06420"
"0.49400","0.08309","0.07157"
"0.52000","0.08566","0.06934"
"0.54600","0.08829","0.07519"
"0.57200","0.09080","0.06555"
"0.59800","0.09348","0.06527"
"0.62400","0.09605","0.07551"
"0.65000","0.09868","0.06613"
"0.67600","0.10120","0.07041"
"0.70200","0.10382","0.06597"
"0.72800","0.10639","0.06250"
"0.75400","0.10896","0.07452"
"0.78000","0.11154","0.07114"
"0.80600","0.11416","0.06726"
"0.83200","0.11673","0.06588"
"0.85800","0.11936","0.07180"
"0.88400","0.12193","0.07896"
"0.91000","0.12455","0.08085"
"0.93600","0.12723","0.07934"
"0.96200","0.12986","0.08416"
"0.98800","0.13243","0.09219"
"1.01400","0.13500","0.08721"
"1.04000","0.13768","0.07914"
"1.06600","0.14025","0.08629"
"1.09200","0.14277","0.08694"
"1.11800","0.14539","0.08653"
"1.14400","0.14812","0.08267"
"1.17000","0.15064","0.08356"
"1.19600","0.15316","0.08985"
"1.22200","0.15579","0.08512"
"1.24800","0.15841","0.08828"
"1.27400","0.16093","0.10061"
"1.30000","0.16345","0.10110"
"1.32600","0.16612","0.09088"
"1.35200","0.16875","0.09282"
"1.37800","0.17132","0.09739"
"1.40400","0.17395","0.09661"
"1.43000","0.17652","0.10105"
"1.45600","0.17925","0.10470"
"1.48200","0.18182","0.10746"
"1.50800","0.18445","0.11199"
"1.53400","0.18702","0.09901"
"1.56000","0.18970","0.10067"
"1.58600","0.19227","0.10405"
"1.61200","0.19479","0.09621"
"1.63800","0.19736","0.10470"
"1.66400","0.20009","0.09978"
"1.69000","0.20261","0.10627"
"1.71600","0.20518","0.10662"
"1.74200","0.20775","0.11817"
"1.76800","0.21043","0.12224"
"1.79400","0.21295","0.11006"
"1.82000","0.21552","0.11451"
"1.84600","0.21809","0.10782"
"1.87200","0.22082","0.10865"
"1.89800","0.22334","0.11430"
"1.92400","0.22596","0.11485"
"1.95000","0.22859","0.11804"
"1.97600","0.23121","0.11648"
"2.00200","0.23379","0.11783"
"2.02800","0.23646","0.11838"
"2.05400","0.23904","0.11394"
"2.08000","0.24171","0.13035"
"2.10600","0.24429","0.12729"
"2.13200","0.24686","0.11987"
"2.15800","0.24938","0.11864"
"2.18400","0.25205","0.12703"
"2.21000","0.25463","0.13395"
"2.23600","0.25720","0.12860"
"2.26200","0.25977","0.13336"
"2.28800","0.26239","0.13520"
"2.31400","0.26496","0.13752"
"2.34000","0.26754","0.14147"
"2.36600","0.27016","0.14379"
"2.39200","0.27284","0.14291"
"2.41800","0.27536","0.13342"
"2.44400","0.27798","0.14410"
"2.47000","0.28061","0.13967"
"2.49600","0.28323","0.13354"
"2.52200","0.28580","0.14358"
"2.54800","0.28843","0.15497"
"2.57400","0.29111","0.15168"
"2.60000","0.29368","0.14293"
"2.62600","0.29625","0.14548"
"2.65200","0.29882","0.15120"
"2.67800","0.30150","0.14790"
"2.70400","0.30402","0.14153"
"2.73000","0.30664","0.15322"
"2.75600","0.30921","0.15604"
"2.78200","0.31184","0.15347"
"2.80800","0.31441","0.14390"
"2.83400","0.31704","0.14569"
"2.86000","0.31955","0.14459"
"2.88600","0.32218","0.15703"
"2.91200","0.32475","0.16181"
"2.93800","0.32737","0.15690"
"2.96400","0.32989","0.15139"
"2.99000","0.33257","0.14573"
"3.01600","0.33514","0.14224"
"3.04200","0.33777","0.15094"
"3.06800","0.34039","0.15618"
"3.09400","0.34307","0.16250"
"3.12000","0.34564","0.15977"
"3.14600","0.34827","0.15126"
"3.17200","0.35079","0.15946"
"3.19800","0.35352","0.14927"
"3.22400","0.35598","0.15173"
"3.25000","0.35861","0.16831"
"3.27600","0.36118","0.16979"
"3.30200","0.36386","0.15793"
"3.32800","0.36637","0.16553"
"3.35400","0.36895","0.17488"
"3.38000","0.37157","0.17595"
"3.40600","0.37414","0.17579"
"3.43200","0.37666","0.17584"
"3.45800","0.37929","0.17469"
"3.48400","0.38191","0.17008"
"3.51000","0.38454","0.18217"
"3.53600","0.38711","0.17921"
"3.56200","0.38973","0.17278"
"3.58800","0.39236","0.17505"
"3.61400","0.39504","0.18483"
"3.64000","0.39761","0.19104"
"3.66600","0.40023","0.17982"
"3.69200","0.40286","0.18054"
"3.71800","0.40548","0.18354"
"3.74400","0.40805","0.17783"
"3.77000","0.41057","0.18858"
"3.79600","0.41325","0.19115"
"3.82200","0.41587","0.18978"
"3.84800","0.41839","0.18943"
"3.87400","0.42096","0.19421"
"3.90000","0.42359","0.18750"
