General : End date,"11/8/2022 12:13 PM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"480.00000",mm/min
General : Start date,"11/8/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.51359","0.02891"
"0.02600","0.55211","0.07960"
"0.05200","0.66729","0.13504"
"0.07800","0.85682","0.23199"
"0.10400","1.10475","0.38394"
"0.13000","1.37754","0.55686"
"0.15600","1.66173","0.74944"
"0.18200","1.92627","0.91824"
"0.20800","2.16273","1.06766"
"0.23400","2.38462","1.21787"
"0.26000","2.59993","1.34172"
"0.28600","2.81202","1.45970"
"0.31200","3.02234","1.56698"
"0.33800","3.23170","1.67193"
"0.36400","3.44052","1.78345"
"0.39000","3.64902","1.89391"
"0.41600","3.85725","1.99487"
"0.44200","4.06543","2.10091"
"0.46800","4.27350","2.19770"
"0.49400","4.48157","2.29023"
"0.52000","4.68959","2.37704"
"0.54600","4.89761","2.48145"
"0.57200","5.10557","2.57069"
"0.59800","5.31359","2.65547"
"0.62400","5.52161","2.74062"
"0.65000","5.72957","2.81631"
"0.67600","5.93759","2.89077"
"0.70200","6.14555","2.97446"
"0.72800","6.35357","3.06555"
"0.75400","6.56159","3.14714"
"0.78000","6.76955","3.21388"
"0.80600","6.97757","3.29626"
"0.83200","7.18559","3.37561"
"0.85800","7.39361","3.43770"
"0.88400","7.60162","3.52209"
"0.91000","7.80959","3.59852"
"0.93600","8.01755","3.68945"
"0.96200","8.22557","3.77432"
"0.98800","8.43364","3.87039"
"1.01400","8.64161","3.97074"
"1.04000","8.84962","4.08281"
"1.06600","9.05764","4.20699"
"1.09200","9.26566","4.34711"
"1.11800","9.47362","4.48012"
"1.14400","9.68159","4.64388"
"1.17000","9.88966","4.82064"
"1.18400","10.00162","4.91649"
