General : End date,"11/8/2022 12:16 PM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"480.00000",mm/min
General : Start date,"11/8/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.43762","0.01646"
"0.02600","0.47577","0.05125"
"0.05200","0.59062","0.13404"
"0.07800","0.78000","0.21916"
"0.10400","1.02825","0.37693"
"0.13000","1.30136","0.54263"
"0.15600","1.58416","0.73820"
"0.18200","1.84548","0.91018"
"0.20800","2.08227","1.06680"
"0.23400","2.30550","1.19968"
"0.26000","2.52193","1.32209"
"0.28600","2.73482","1.44258"
"0.31200","2.94562","1.56170"
"0.33800","3.15525","1.67122"
"0.36400","3.36423","1.77243"
"0.39000","3.57279","1.87865"
"0.41600","3.78113","1.97210"
"0.44200","3.98930","2.07181"
"0.46800","4.19743","2.17647"
"0.49400","4.40550","2.27033"
"0.52000","4.61357","2.36401"
"0.54600","4.82159","2.45423"
"0.57200","5.02955","2.53901"
"0.59800","5.23757","2.63580"
"0.62400","5.44559","2.72164"
"0.65000","5.65361","2.79532"
"0.67600","5.86157","2.87490"
"0.70200","6.06959","2.95761"
"0.72800","6.27755","3.03907"
"0.75400","6.48563","3.11215"
"0.78000","6.69359","3.18569"
"0.80600","6.90161","3.26480"
"0.83200","7.10957","3.34697"
"0.85800","7.31759","3.42018"
"0.88400","7.52561","3.50370"
"0.91000","7.73357","3.56606"
"0.93600","7.94154","3.65417"
"0.96200","8.14955","3.74937"
"0.98800","8.35763","3.83881"
"1.01400","8.56559","3.94638"
"1.04000","8.77361","4.06341"
"1.06600","8.98163","4.19648"
"1.09200","9.18964","4.32720"
"1.11800","9.39761","4.46681"
"1.14400","9.60557","4.60382"
"1.17000","9.81364","4.76913"
"1.19400","10.00564","4.92549"
