General : End date,"11/2/2022 11:13 AM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"300.00000",mm/min
General : Start date,"11/2/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.24364","0.03052"
"0.02600","0.27959","0.05687"
"0.05200","0.39150","0.11107"
"0.07800","0.55114","0.17596"
"0.10400","0.71427","0.23322"
"0.13000","0.86780","0.29243"
"0.15600","1.01245","0.35759"
"0.18200","1.15114","0.43183"
"0.20800","1.28630","0.48938"
"0.23400","1.41932","0.54604"
"0.26000","1.55105","0.60051"
"0.28600","1.68214","0.64314"
"0.31200","1.81275","0.70864"
"0.33800","1.94309","0.74813"
"0.36400","2.07327","0.81051"
"0.39000","2.20345","0.85494"
"0.41600","2.33352","0.90113"
"0.44200","2.46359","0.92585"
"0.46800","2.59361","0.91871"
"0.49400","2.72362","0.86445"
"0.52000","2.85359","0.78338"
"0.54600","2.98361","0.72014"
"0.57200","3.11357","0.68991"
"0.59800","3.24354","0.67732"
"0.62400","3.37361","0.67408"
"0.65000","3.50357","0.67543"
"0.67600","3.63359","0.69179"
"0.70200","3.76361","0.69978"
"0.72800","3.89357","0.72504"
"0.75400","4.02364","0.72472"
"0.78000","4.15361","0.73293"
"0.80600","4.28363","0.74413"
"0.83200","4.41364","0.74368"
"0.85800","4.54361","0.75475"
"0.88400","4.67362","0.79062"
"0.91000","4.80354","0.81745"
"0.93600","4.93355","0.83187"
"0.96200","5.06362","0.85665"
"0.98800","5.19359","0.88155"
"1.01400","5.32366","0.89779"
"1.04000","5.45363","0.90652"
"1.06600","5.58359","0.93214"
"1.09200","5.71361","0.95769"
"1.11800","5.84357","0.98242"
"1.14400","5.97364","1.00469"
"1.17000","6.10361","1.03557"
"1.19600","6.23362","1.06959"
"1.22200","6.36359","1.09179"
"1.24800","6.49350","1.12735"
"1.27400","6.62357","1.16011"
"1.30000","6.75359","1.19036"
"1.32600","6.88361","1.22293"
"1.35200","7.01368","1.25113"
"1.37800","7.14359","1.28334"
"1.40400","7.27361","1.31197"
"1.43000","7.40357","1.35307"
"1.45600","7.53359","1.39077"
"1.48200","7.66361","1.44396"
"1.50800","7.79357","1.52577"
"1.53400","7.92359","1.61081"
"1.56000","8.05355","1.70394"
"1.58600","8.18357","1.88280"
"1.61200","8.31359","2.17916"
"1.63800","8.44355","2.50233"
"1.66400","8.57363","2.79370"
"1.69000","8.70359","3.06443"
"1.71600","8.83355","3.33330"
"1.74200","8.96362","3.62758"
"1.76800","9.09354","3.91664"
"1.79400","9.22355","4.17241"
"1.82000","9.35357","4.38210"
"1.84600","9.48359","4.54342"
"1.87200","9.61355","4.60754"
"1.89800","9.74357","4.56697"
"1.92400","9.87359","4.44665"
"1.95000","10.00361","4.38530"
