General : End date,"11/2/2022 10:45 AM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"6.00000",mm/min
General : Start date,"11/2/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.24182","0.03351"
"0.02600","0.24225","0.04186"
"0.05200","0.24370","0.02795"
"0.07800","0.24648","0.04149"
"0.10400","0.24991","0.03224"
"0.13000","0.25350","0.03804"
"0.15600","0.25671","0.03724"
"0.18200","0.25971","0.04513"
"0.20800","0.26261","0.03731"
"0.23400","0.26534","0.03034"
"0.26000","0.26796","0.02648"
"0.28600","0.27064","0.03564"
"0.31200","0.27327","0.04691"
"0.33800","0.27579","0.05030"
"0.36400","0.27841","0.05013"
"0.39000","0.28104","0.03843"
"0.41600","0.28366","0.04280"
"0.44200","0.28618","0.04926"
"0.46800","0.28880","0.04734"
"0.49400","0.29138","0.05192"
"0.52000","0.29400","0.05612"
"0.54600","0.29652","0.05001"
"0.57200","0.29914","0.05213"
"0.59800","0.30171","0.05794"
"0.62400","0.30439","0.05646"
"0.65000","0.30696","0.04982"
"0.67600","0.30954","0.05835"
"0.70200","0.31216","0.06233"
"0.72800","0.31484","0.05244"
"0.75400","0.31741","0.06401"
"0.78000","0.32004","0.05590"
"0.80600","0.32261","0.06003"
"0.83200","0.32534","0.07450"
"0.85800","0.32780","0.07739"
"0.88400","0.33038","0.06556"
"0.91000","0.33300","0.06344"
"0.93600","0.33568","0.05696"
"0.96200","0.33820","0.06339"
"0.98800","0.34077","0.05982"
"1.01400","0.34339","0.07157"
"1.04000","0.34602","0.07960"
"1.06600","0.34848","0.07052"
"1.09200","0.35111","0.06106"
"1.11800","0.35379","0.06596"
"1.14400","0.35636","0.07792"
"1.17000","0.35893","0.07168"
"1.19600","0.36161","0.07037"
"1.22200","0.36418","0.08025"
"1.24800","0.36680","0.07390"
"1.27400","0.36937","0.07782"
"1.30000","0.37200","0.07492"
"1.32600","0.37462","0.07224"
"1.35200","0.37725","0.06641"
"1.37800","0.37982","0.08282"
"1.40400","0.38239","0.08823"
"1.43000","0.38502","0.08076"
"1.45600","0.38764","0.08304"
"1.48200","0.39021","0.08100"
"1.50800","0.39279","0.08573"
"1.53400","0.39541","0.08285"
"1.56000","0.39804","0.07658"
"1.58600","0.40050","0.08194"
"1.61200","0.40307","0.08769"
"1.63800","0.40580","0.09160"
"1.66400","0.40837","0.08641"
"1.69000","0.41089","0.08332"
"1.71600","0.41352","0.09823"
"1.74200","0.41620","0.09547"
"1.76800","0.41877","0.08520"
"1.79400","0.42139","0.09556"
"1.82000","0.42402","0.09253"
"1.84600","0.42664","0.08672"
"1.87200","0.42921","0.08773"
"1.89800","0.43189","0.09791"
"1.92400","0.43441","0.10344"
"1.95000","0.43704","0.10918"
"1.97600","0.43966","0.11574"
"2.00200","0.44229","0.11472"
"2.02800","0.44480","0.09965"
"2.05400","0.44748","0.10344"
"2.08000","0.45005","0.09612"
"2.10600","0.45262","0.09732"
"2.13200","0.45509","0.09204"
"2.15800","0.45782","0.10328"
"2.18400","0.46039","0.11498"
"2.21000","0.46296","0.10771"
"2.23600","0.46554","0.11362"
"2.26200","0.46827","0.12329"
"2.28800","0.47079","0.11699"
"2.31400","0.47341","0.10206"
"2.34000","0.47609","0.10363"
"2.36600","0.47877","0.10625"
"2.39200","0.48129","0.11539"
"2.41800","0.48391","0.11884"
"2.44400","0.48648","0.10993"
"2.47000","0.48905","0.12044"
"2.49600","0.49162","0.11689"
"2.52200","0.49430","0.11126"
"2.54800","0.49688","0.11230"
"2.57400","0.49945","0.11534"
"2.60000","0.50202","0.10617"
"2.62600","0.50464","0.11190"
"2.65200","0.50721","0.11075"
"2.67800","0.50979","0.12017"
"2.70400","0.51236","0.11885"
"2.73000","0.51493","0.13048"
"2.75600","0.51750","0.12816"
"2.78200","0.52018","0.12187"
"2.80800","0.52275","0.12120"
"2.83400","0.52538","0.13725"
"2.86000","0.52805","0.12937"
"2.88600","0.53068","0.12946"
"2.91200","0.53325","0.13743"
"2.93800","0.53582","0.13402"
"2.96400","0.53850","0.13441"
"2.99000","0.54107","0.13988"
"3.01600","0.54359","0.14026"
"3.04200","0.54616","0.14158"
"3.06800","0.54889","0.14223"
"3.09400","0.55141","0.13877"
"3.12000","0.55393","0.14229"
"3.14600","0.55655","0.15036"
"3.17200","0.55923","0.14274"
"3.19800","0.56170","0.14148"
"3.22400","0.56427","0.14727"
"3.25000","0.56695","0.14557"
"3.27600","0.56962","0.14467"
"3.30200","0.57214","0.15202"
"3.32800","0.57477","0.15203"
"3.35400","0.57734","0.14365"
"3.38000","0.58007","0.14340"
"3.40600","0.58264","0.13610"
"3.43200","0.58527","0.15090"
"3.45800","0.58779","0.14453"
"3.48400","0.59046","0.14014"
"3.51000","0.59304","0.14448"
"3.53600","0.59561","0.15594"
"3.56200","0.59818","0.15569"
"3.58800","0.60091","0.15611"
"3.61400","0.60343","0.16478"
"3.64000","0.60600","0.16286"
"3.66600","0.60857","0.16581"
"3.69200","0.61125","0.16018"
"3.71800","0.61371","0.15273"
"3.74400","0.61629","0.15838"
"3.77000","0.61896","0.15715"
"3.79600","0.62164","0.16301"
"3.82200","0.62411","0.16526"
"3.84800","0.62679","0.17154"
"3.87400","0.62936","0.16298"
"3.90000","0.63198","0.16310"
