General : End date,"11/2/2022 11:20 AM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"60.00000",mm/min
General : Start date,"11/2/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.34720","0.03409"
"0.02600","0.35539","0.02889"
"0.05200","0.38089","0.05353"
"0.07800","0.41255","0.06775"
"0.10400","0.44400","0.07296"
"0.13000","0.47368","0.08863"
"0.15600","0.50202","0.10471"
"0.18200","0.52945","0.11983"
"0.20800","0.55623","0.11633"
"0.23400","0.58270","0.13596"
"0.26000","0.60889","0.14904"
"0.28600","0.63498","0.15840"
"0.31200","0.66102","0.16732"
"0.33800","0.68711","0.16388"
"0.36400","0.71314","0.17599"
"0.39000","0.73923","0.19667"
"0.41600","0.76527","0.22513"
"0.44200","0.79125","0.22160"
"0.46800","0.81723","0.21854"
"0.49400","0.84316","0.22737"
"0.52000","0.86920","0.23850"
"0.54600","0.89512","0.25626"
"0.57200","0.92116","0.26516"
"0.59800","0.94720","0.26984"
"0.62400","0.97323","0.28315"
"0.65000","0.99927","0.29067"
"0.67600","1.02525","0.30142"
"0.70200","1.05118","0.30576"
"0.72800","1.07716","0.31781"
"0.75400","1.10309","0.33215"
"0.78000","1.12918","0.33636"
"0.80600","1.15516","0.34236"
"0.83200","1.18125","0.34738"
"0.85800","1.20723","0.36084"
"0.88400","1.23332","0.37523"
"0.91000","1.25920","0.38859"
"0.93600","1.28518","0.39255"
"0.96200","1.31111","0.39041"
"0.98800","1.33714","0.40231"
"1.01400","1.36313","0.41481"
"1.04000","1.38927","0.43724"
"1.06600","1.41525","0.43853"
"1.09200","1.44129","0.42941"
"1.11800","1.46721","0.44045"
"1.14400","1.49325","0.45633"
"1.17000","1.51912","0.47121"
"1.19600","1.54516","0.47690"
"1.22200","1.57114","0.47581"
"1.24800","1.59723","0.47662"
"1.27400","1.62327","0.50275"
"1.30000","1.64920","0.51669"
"1.32600","1.67518","0.53138"
"1.35200","1.70116","0.53438"
"1.37800","1.72720","0.54207"
"1.40400","1.75312","0.54804"
"1.43000","1.77916","0.56762"
"1.45600","1.80520","0.56859"
"1.48200","1.83129","0.57545"
"1.50800","1.85727","0.57738"
"1.53400","1.88325","0.55918"
"1.56000","1.90918","0.52930"
"1.58600","1.93516","0.49846"
"1.61200","1.96109","0.49064"
"1.63800","1.98713","0.48124"
"1.66400","2.01316","0.47926"
"1.69000","2.03930","0.48314"
"1.71600","2.06529","0.47321"
"1.74200","2.09127","0.48114"
"1.76800","2.11725","0.48812"
"1.79400","2.14323","0.48581"
"1.82000","2.16911","0.47649"
"1.84600","2.19514","0.47561"
"1.87200","2.22118","0.47275"
"1.89800","2.24727","0.46565"
"1.92400","2.27325","0.46912"
"1.95000","2.29929","0.47139"
"1.97600","2.32521","0.47983"
"2.00200","2.35120","0.46921"
"2.02800","2.37713","0.46501"
"2.05400","2.40311","0.47068"
"2.08000","2.42914","0.46648"
"2.10600","2.45523","0.45769"
"2.13200","2.48127","0.45878"
"2.15800","2.50730","0.46647"
"2.18400","2.53323","0.46516"
"2.21000","2.55916","0.46388"
"2.23600","2.58514","0.46346"
"2.26200","2.61113","0.46177"
"2.28800","2.63716","0.46454"
"2.31400","2.66320","0.46461"
"2.34000","2.68929","0.46568"
"2.36600","2.71527","0.47178"
"2.39200","2.74125","0.46218"
"2.41800","2.76718","0.45246"
"2.44400","2.79316","0.46158"
"2.47000","2.81909","0.46740"
"2.49600","2.84512","0.45698"
"2.52200","2.87116","0.46902"
"2.54800","2.89725","0.47691"
"2.57400","2.92323","0.46999"
"2.60000","2.94927","0.48102"
"2.62600","2.97520","0.48826"
"2.65200","3.00118","0.49334"
"2.67800","3.02711","0.47867"
"2.70400","3.05314","0.48140"
"2.73000","3.07918","0.48172"
"2.75600","3.10527","0.49223"
"2.78200","3.13125","0.50706"
"2.80800","3.15729","0.50644"
"2.83400","3.18321","0.49951"
"2.86000","3.20914","0.50319"
"2.88600","3.23507","0.49432"
"2.91200","3.26111","0.49228"
"2.93800","3.28714","0.49440"
"2.96400","3.31329","0.50220"
"2.99000","3.33932","0.50987"
"3.01600","3.36536","0.50868"
"3.04200","3.39129","0.51287"
"3.06800","3.41721","0.51676"
"3.09400","3.44314","0.52168"
"3.12000","3.46912","0.51221"
"3.14600","3.49516","0.51375"
"3.17200","3.52120","0.52292"
"3.19800","3.54723","0.53569"
"3.22400","3.57327","0.52912"
"3.25000","3.59925","0.52022"
"3.27600","3.62518","0.52286"
"3.30200","3.65116","0.52237"
"3.32800","3.67714","0.52679"
"3.35400","3.70318","0.53474"
"3.38000","3.72921","0.53416"
"3.40600","3.75530","0.53926"
"3.43200","3.78123","0.54977"
"3.45800","3.80727","0.55124"
"3.48400","3.83320","0.54922"
"3.51000","3.85918","0.54630"
"3.53600","3.88511","0.53800"
"3.56200","3.91114","0.53705"
"3.58800","3.93713","0.53832"
"3.61400","3.96327","0.54066"
"3.64000","3.98925","0.54831"
"3.66600","4.01529","0.55868"
"3.69200","4.04121","0.55481"
"3.71800","4.06720","0.54977"
"3.74400","4.09318","0.56509"
"3.77000","4.11916","0.57808"
"3.79600","4.14514","0.57836"
"3.82200","4.17129","0.57926"
"3.84800","4.19727","0.58885"
"3.87400","4.22325","0.59182"
"3.90000","4.24923","0.59886"
