General : End date,"11/2/2022 11:09 AM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"300.00000",mm/min
General : Start date,"11/2/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.31886","0.03632"
"0.02600","0.35496","0.06561"
"0.05200","0.46698","0.12479"
"0.07800","0.62673","0.17353"
"0.10400","0.78970","0.22646"
"0.13000","0.94313","0.30089"
"0.15600","1.08771","0.36835"
"0.18200","1.22641","0.43318"
"0.20800","1.36152","0.49416"
"0.23400","1.49459","0.55903"
"0.26000","1.62632","0.61192"
"0.28600","1.75736","0.66491"
"0.31200","1.88802","0.70857"
"0.33800","2.01830","0.76989"
"0.36400","2.14854","0.82946"
"0.39000","2.27866","0.88336"
"0.41600","2.40873","0.92557"
"0.44200","2.53886","0.94906"
"0.46800","2.66882","0.92464"
"0.49400","2.79884","0.85295"
"0.52000","2.92880","0.78482"
"0.54600","3.05877","0.72674"
"0.57200","3.18879","0.68990"
"0.59800","3.31880","0.67916"
"0.62400","3.44882","0.67782"
"0.65000","3.57884","0.68874"
"0.67600","3.70880","0.69902"
"0.70200","3.83887","0.70592"
"0.72800","3.96884","0.72308"
"0.75400","4.09880","0.74429"
"0.78000","4.22888","0.75471"
"0.80600","4.35884","0.75213"
"0.83200","4.48886","0.76453"
"0.85800","4.61888","0.79003"
"0.88400","4.74879","0.81588"
"0.91000","4.87880","0.83559"
"0.93600","5.00877","0.84900"
"0.96200","5.13884","0.87390"
"0.98800","5.26886","0.89989"
"1.01400","5.39888","0.92751"
"1.04000","5.52884","0.94867"
"1.06600","5.65880","0.96668"
"1.09200","5.78882","0.97672"
"1.11800","5.91884","1.00596"
"1.14400","6.04886","1.04556"
"1.17000","6.17893","1.07021"
"1.19600","6.30884","1.10591"
"1.22200","6.43880","1.14201"
"1.24800","6.56877","1.15375"
"1.27400","6.69879","1.18312"
"1.30000","6.82886","1.21657"
"1.32600","6.95887","1.25553"
"1.35200","7.08889","1.28382"
"1.37800","7.21886","1.31871"
"1.40400","7.34877","1.37603"
"1.43000","7.47884","1.41653"
"1.45600","7.60886","1.46450"
"1.48200","7.73882","1.51813"
"1.50800","7.86884","1.63150"
"1.53400","7.99880","1.86472"
"1.56000","8.12882","2.13111"
"1.58600","8.25879","2.41044"
"1.61200","8.38880","2.67325"
"1.63800","8.51888","2.93297"
"1.66400","8.64884","3.20182"
"1.69000","8.77880","3.45603"
"1.71600","8.90882","3.69712"
"1.74200","9.03879","3.91664"
"1.76800","9.16880","4.08305"
"1.79400","9.29877","4.17654"
"1.82000","9.42879","4.27485"
"1.84600","9.55880","4.29844"
"1.87200","9.68877","4.23100"
"1.89800","9.81884","4.14551"
"1.92400","9.94880","4.19464"
"1.93600","10.00886","4.26496"
