General : End date,"11/2/2022 11:24 AM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"480.00000",mm/min
General : Start date,"11/2/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.49837","0.02977"
"0.02600","0.53668","0.05740"
"0.05200","0.65170","0.13130"
"0.07800","0.84166","0.19803"
"0.10400","1.08948","0.29855"
"0.13000","1.36066","0.40357"
"0.15600","1.64266","0.52798"
"0.18200","1.90645","0.63045"
"0.20800","2.14398","0.74101"
"0.23400","2.36711","0.85775"
"0.26000","2.58332","0.96580"
"0.28600","2.79595","1.05563"
"0.31200","3.00664","1.06795"
"0.33800","3.21616","1.00915"
"0.36400","3.42509","0.91163"
"0.39000","3.63364","0.81274"
"0.41600","3.84198","0.78463"
"0.44200","4.05016","0.78741"
"0.46800","4.25823","0.80278"
"0.49400","4.46630","0.80502"
"0.52000","4.67438","0.83336"
"0.54600","4.88239","0.87577"
"0.57200","5.09030","0.91678"
"0.59800","5.29838","0.93719"
"0.62400","5.50639","0.96399"
"0.65000","5.71441","0.98901"
"0.67600","5.92237","1.03366"
"0.70200","6.13039","1.07730"
"0.72800","6.33841","1.10264"
"0.75400","6.54643","1.14295"
"0.78000","6.75434","1.19692"
"0.80600","6.96236","1.25951"
"0.83200","7.17043","1.31147"
"0.85800","7.37845","1.36299"
"0.88400","7.58641","1.41955"
"0.91000","7.79437","1.48982"
"0.93600","8.00239","1.56763"
"0.96200","8.21041","1.67768"
"0.98800","8.41838","1.84925"
"1.01400","8.62639","2.25922"
"1.04000","8.83441","2.81418"
"1.06600","9.04237","3.37226"
"1.09200","9.25039","3.84999"
"1.11800","9.45841","4.22444"
"1.14400","9.66643","4.67795"
"1.17000","9.87439","5.05970"
"1.18600","10.00237","5.19083"
