General : End date,"11/4/2022 10:32 AM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"480.00000",mm/min
General : Start date,"11/4/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.30439","0.03614"
"0.02600","0.34291","0.06187"
"0.05200","0.45836","0.12890"
"0.07800","0.64886","0.20731"
"0.10400","0.89700","0.33242"
"0.13000","1.16866","0.47444"
"0.15600","1.45152","0.63910"
"0.18200","1.71670","0.78092"
"0.20800","1.95354","0.91539"
"0.23400","2.17559","1.02529"
"0.26000","2.39079","1.13496"
"0.28600","2.60282","1.24660"
"0.31200","2.81314","1.35944"
"0.33800","3.02250","1.43844"
"0.36400","3.23127","1.53306"
"0.39000","3.43971","1.62793"
"0.41600","3.64805","1.71151"
"0.44200","3.85623","1.80212"
"0.46800","4.06430","1.89066"
"0.49400","4.27232","1.97669"
"0.52000","4.48034","2.05927"
"0.54600","4.68836","2.13775"
"0.57200","4.89637","2.21424"
"0.59800","5.10439","2.29056"
"0.62400","5.31241","2.36964"
"0.65000","5.52037","2.45039"
"0.67600","5.72839","2.53480"
"0.70200","5.93636","2.61797"
"0.72800","6.14437","2.70972"
"0.75400","6.35234","2.80955"
"0.78000","6.56041","2.90865"
"0.80600","6.76843","3.00387"
"0.83200","6.97634","3.11084"
"0.85800","7.18441","3.21289"
"0.88400","7.39243","3.32254"
"0.91000","7.60039","3.44896"
"0.93600","7.80836","3.55837"
"0.96200","8.01637","3.67293"
"0.98800","8.22439","3.78900"
"1.01400","8.43241","3.91789"
"1.04000","8.64038","4.05185"
"1.06600","8.84839","4.18188"
"1.09200","9.05641","4.31742"
"1.11800","9.26443","4.45937"
"1.14400","9.47239","4.62257"
"1.17000","9.68036","4.79474"
"1.19600","9.88843","4.98425"
"1.21000","10.00045","5.08361"
