General : End date,"11/4/2022 10:26 AM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"300.00000",mm/min
General : Start date,"11/4/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","-0.09605","0.04543"
"0.02600","-0.06005","0.07285"
"0.05200","0.05202","0.14118"
"0.07800","0.21161","0.20774"
"0.10400","0.37462","0.28245"
"0.13000","0.52811","0.36357"
"0.15600","0.67270","0.46219"
"0.18200","0.81150","0.55785"
"0.20800","0.94661","0.62714"
"0.23400","1.07963","0.69583"
"0.26000","1.21141","0.75847"
"0.28600","1.34239","0.82649"
"0.31200","1.47300","0.80706"
"0.33800","1.60334","0.76365"
"0.36400","1.73357","0.83074"
"0.39000","1.86375","0.91688"
"0.41600","1.99388","0.98492"
"0.44200","2.12384","1.05860"
"0.46800","2.25386","1.12964"
"0.49400","2.38382","1.18272"
"0.52000","2.51384","1.24257"
"0.54600","2.64386","1.30077"
"0.57200","2.77393","1.36789"
"0.59800","2.90395","1.42110"
"0.62400","3.03386","1.46826"
"0.65000","3.16388","1.53087"
"0.67600","3.29384","1.57747"
"0.70200","3.42391","1.63058"
"0.72800","3.55393","1.68391"
"0.75400","3.68395","1.73359"
"0.78000","3.81391","1.79264"
"0.80600","3.94393","1.84551"
"0.83200","4.07389","1.88924"
"0.85800","4.20391","1.94348"
"0.88400","4.33388","1.98812"
"0.91000","4.46395","2.04506"
"0.93600","4.59391","2.08788"
"0.96200","4.72388","2.12565"
"0.98800","4.85395","2.18206"
"1.01400","4.98391","2.24015"
"1.04000","5.11393","2.27762"
"1.06600","5.24395","2.32273"
"1.09200","5.37386","2.37439"
"1.11800","5.50393","2.42912"
"1.14400","5.63389","2.48572"
"1.17000","5.76391","2.54155"
"1.19600","5.89393","2.58302"
"1.22200","6.02389","2.64636"
"1.24800","6.15391","2.70964"
"1.27400","6.28387","2.76555"
"1.30000","6.41389","2.81545"
"1.32600","6.54391","2.87714"
"1.35200","6.67387","2.94185"
"1.37800","6.80395","2.99612"
"1.40400","6.93386","3.07529"
"1.43000","7.06388","3.13894"
"1.45600","7.19395","3.21114"
"1.48200","7.32391","3.26368"
"1.50800","7.45393","3.33952"
"1.53400","7.58389","3.41474"
"1.56000","7.71386","3.48754"
"1.58600","7.84388","3.56323"
"1.61200","7.97389","3.63488"
"1.63800","8.10391","3.71114"
"1.66400","8.23393","3.80904"
"1.69000","8.36395","3.88576"
"1.71600","8.49391","3.95491"
"1.74200","8.62387","4.04970"
"1.76800","8.75389","4.14835"
"1.79400","8.88391","4.22903"
"1.82000","9.01393","4.30432"
"1.84600","9.14395","4.41235"
"1.87200","9.27391","4.51348"
"1.89800","9.40388","4.61182"
"1.92400","9.53384","4.71553"
"1.95000","9.66386","4.83588"
"1.97600","9.79393","4.93666"
"2.00200","9.92395","5.04828"
"2.01800","10.00398","5.11945"
