General : End date,"11/4/2022 10:36 AM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"480.00000",mm/min
General : Start date,"11/4/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","1.20879","0.03571"
"0.02600","1.24709","0.06309"
"0.05200","1.36211","0.12091"
"0.07800","1.55207","0.21158"
"0.10400","1.79989","0.34353"
"0.13000","2.07129","0.49134"
"0.15600","2.35334","0.64797"
"0.18200","2.61686","0.79559"
"0.20800","2.85429","0.92342"
"0.23400","3.07736","1.05488"
"0.26000","3.29362","1.16794"
"0.28600","3.50630","1.19035"
"0.31200","3.71700","1.24913"
"0.33800","3.92657","1.35734"
"0.36400","4.13550","1.46100"
"0.39000","4.34400","1.55187"
"0.41600","4.55234","1.65187"
"0.44200","4.76052","1.74231"
"0.46800","4.96864","1.82896"
"0.49400","5.17671","1.91048"
"0.52000","5.38473","1.99040"
"0.54600","5.59275","2.06443"
"0.57200","5.80077","2.14304"
"0.59800","6.00873","2.23037"
"0.62400","6.21675","2.31140"
"0.65000","6.42477","2.37690"
"0.67600","6.63279","2.47152"
"0.70200","6.84080","2.57629"
"0.72800","7.04877","2.67959"
"0.75400","7.25679","2.76882"
"0.78000","7.46480","2.88101"
"0.80600","7.67282","3.00014"
"0.83200","7.88073","3.11495"
"0.85800","8.08880","3.23051"
"0.88400","8.29682","3.37327"
"0.91000","8.50484","3.51074"
"0.93600","8.71280","3.64528"
"0.96200","8.92082","3.79268"
"0.98800","9.12884","3.93656"
"1.01400","9.33680","4.09872"
"1.04000","9.54477","4.27903"
"1.06600","9.75279","4.44058"
"1.09200","9.96086","4.62898"
"1.09800","10.00886","4.67039"
