General : End date,"11/2/2022 11:47 AM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"300.00000",mm/min
General : Start date,"11/2/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.37661","0.03426"
"0.02600","0.41271","0.06446"
"0.05200","0.52468","0.12034"
"0.07800","0.68421","0.16430"
"0.10400","0.84729","0.21112"
"0.13000","1.00082","0.27843"
"0.15600","1.14546","0.34302"
"0.18200","1.28416","0.33944"
"0.20800","1.41927","0.32012"
"0.23400","1.55234","0.34106"
"0.26000","1.68407","0.37859"
"0.28600","1.81516","0.40877"
"0.31200","1.94571","0.44554"
"0.33800","2.07605","0.47221"
"0.36400","2.20629","0.48895"
"0.39000","2.33641","0.51652"
"0.41600","2.46654","0.54871"
"0.44200","2.59655","0.56685"
"0.46800","2.72657","0.59096"
"0.49400","2.85664","0.62157"
"0.52000","2.98661","0.64341"
"0.54600","3.11662","0.64503"
"0.57200","3.24659","0.66788"
"0.59800","3.37655","0.69262"
"0.62400","3.50657","0.70869"
"0.65000","3.63654","0.71670"
"0.67600","3.76661","0.72699"
"0.70200","3.89662","0.73824"
"0.72800","4.02659","0.75404"
"0.75400","4.15661","0.78103"
"0.78000","4.28662","0.78634"
"0.80600","4.41659","0.78805"
"0.83200","4.54666","0.82139"
"0.85800","4.67663","0.84956"
"0.88400","4.80664","0.88163"
"0.91000","4.93661","0.91199"
"0.93600","5.06657","0.93807"
"0.96200","5.19659","0.96366"
"0.98800","5.32655","1.00033"
"1.01400","5.45662","1.01787"
"1.04000","5.58664","1.03281"
"1.06600","5.71666","1.05885"
"1.09200","5.84663","1.08875"
"1.11800","5.97659","1.10807"
"1.14400","6.10661","1.12674"
"1.17000","6.23662","1.14390"
"1.19600","6.36664","1.16833"
"1.22200","6.49666","1.19105"
"1.24800","6.62657","1.21005"
"1.27400","6.75654","1.23538"
"1.30000","6.88655","1.25255"
"1.32600","7.01657","1.26736"
"1.35200","7.14664","1.29074"
"1.37800","7.27666","1.30847"
"1.40400","7.40662","1.33352"
"1.43000","7.53664","1.36779"
"1.45600","7.66655","1.39363"
"1.48200","7.79657","1.42029"
"1.50800","7.92659","1.44949"
"1.53400","8.05655","1.49269"
"1.56000","8.18663","1.55321"
"1.58600","8.31654","1.61072"
"1.61200","8.44661","1.67279"
"1.63800","8.57657","1.73341"
"1.66400","8.70654","1.81537"
"1.69000","8.83661","1.92141"
"1.71600","8.96657","2.04380"
"1.74200","9.09659","2.17952"
"1.76800","9.22661","2.36298"
"1.79400","9.35657","2.57381"
"1.82000","9.48659","2.77587"
"1.84600","9.61655","2.93552"
"1.87200","9.74657","3.11744"
"1.89800","9.87654","3.37247"
"1.92400","10.00655","3.60287"
