General : End date,"11/2/2022 11:46 AM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"300.00000",mm/min
General : Start date,"11/2/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.32223","0.03773"
"0.02600","0.35818","0.07346"
"0.05200","0.47004","0.11430"
"0.07800","0.62979","0.15392"
"0.10400","0.79302","0.19622"
"0.13000","0.94655","0.25789"
"0.15600","1.09114","0.32161"
"0.18200","1.22984","0.34941"
"0.20800","1.36495","0.32742"
"0.23400","1.49791","0.35613"
"0.26000","1.62964","0.38511"
"0.28600","1.76073","0.40802"
"0.31200","1.89134","0.43439"
"0.33800","2.02168","0.45840"
"0.36400","2.15191","0.49283"
"0.39000","2.28198","0.51638"
"0.41600","2.41211","0.54297"
"0.44200","2.54212","0.57296"
"0.46800","2.67220","0.59612"
"0.49400","2.80221","0.60441"
"0.52000","2.93218","0.62602"
"0.54600","3.06225","0.64098"
"0.57200","3.19216","0.65270"
"0.59800","3.32218","0.67811"
"0.62400","3.45220","0.69983"
"0.65000","3.58211","0.71572"
"0.67600","3.71223","0.72813"
"0.70200","3.84220","0.73927"
"0.72800","3.97221","0.74886"
"0.75400","4.10223","0.75808"
"0.78000","4.23220","0.78018"
"0.80600","4.36221","0.80220"
"0.83200","4.49223","0.81767"
"0.85800","4.62220","0.83775"
"0.88400","4.75227","0.86584"
"0.91000","4.88218","0.89938"
"0.93600","5.01220","0.94724"
"0.96200","5.14216","0.97891"
"0.98800","5.27218","0.99313"
"1.01400","5.40225","1.00956"
"1.04000","5.53221","1.03353"
"1.06600","5.66229","1.05621"
"1.09200","5.79225","1.08331"
"1.11800","5.92216","1.10991"
"1.14400","6.05223","1.13411"
"1.17000","6.18220","1.16685"
"1.19600","6.31227","1.18238"
"1.22200","6.44229","1.20578"
"1.24800","6.57220","1.22581"
"1.27400","6.70216","1.24743"
"1.30000","6.83212","1.26728"
"1.32600","6.96220","1.31141"
"1.35200","7.09221","1.34729"
"1.37800","7.22223","1.35960"
"1.40400","7.35230","1.36447"
"1.43000","7.48221","1.38143"
"1.45600","7.61218","1.40653"
"1.48200","7.74220","1.43384"
"1.50800","7.87216","1.46496"
"1.53400","8.00223","1.50041"
"1.56000","8.13220","1.53969"
"1.58600","8.26221","1.58277"
"1.61200","8.39218","1.62664"
"1.63800","8.52214","1.69563"
"1.66400","8.65216","1.79408"
"1.69000","8.78218","1.89383"
"1.71600","8.91220","2.01097"
"1.74200","9.04221","2.13503"
"1.76800","9.17218","2.32123"
"1.79400","9.30220","2.52792"
"1.82000","9.43216","2.74671"
"1.84600","9.56213","2.97636"
"1.87200","9.69220","3.14540"
"1.89800","9.82216","3.32366"
"1.92400","9.95218","3.55128"
"1.93400","10.00216","3.63188"
