General : End date,"11/2/2022 11:28 AM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"60.00000",mm/min
General : Start date,"11/2/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.41229","0.01453"
"0.02600","0.42043","0.03712"
"0.05200","0.44593","0.06110"
"0.07800","0.47780","0.05395"
"0.10400","0.50920","0.05690"
"0.13000","0.53898","0.04140"
"0.15600","0.56716","0.04232"
"0.18200","0.59438","0.05464"
"0.20800","0.62111","0.07239"
"0.23400","0.64752","0.08893"
"0.26000","0.67377","0.10487"
"0.28600","0.69996","0.12283"
"0.31200","0.72611","0.13221"
"0.33800","0.75220","0.13378"
"0.36400","0.77829","0.14799"
"0.39000","0.80427","0.15689"
"0.41600","0.83025","0.16298"
"0.44200","0.85623","0.17815"
"0.46800","0.88216","0.19255"
"0.49400","0.90820","0.21178"
"0.52000","0.93423","0.21741"
"0.54600","0.96032","0.21967"
"0.57200","0.98630","0.22902"
"0.59800","1.01234","0.24244"
"0.62400","1.03821","0.25404"
"0.65000","1.06420","0.25895"
"0.67600","1.09018","0.27002"
"0.70200","1.11621","0.29145"
"0.72800","1.14225","0.29893"
"0.75400","1.16834","0.31626"
"0.78000","1.19437","0.31518"
"0.80600","1.22036","0.32739"
"0.83200","1.24623","0.35513"
"0.85800","1.27227","0.35991"
"0.88400","1.29814","0.33515"
"0.91000","1.32423","0.25983"
"0.93600","1.35021","0.24599"
"0.96200","1.37630","0.25684"
"0.98800","1.40229","0.25386"
"1.01400","1.42832","0.25867"
"1.04000","1.45425","0.26667"
"1.06600","1.48023","0.28110"
"1.09200","1.50616","0.29277"
"1.11800","1.53220","0.29467"
"1.14400","1.55823","0.29177"
"1.17000","1.58427","0.29155"
"1.19600","1.61025","0.30050"
"1.22200","1.63629","0.31122"
"1.24800","1.66227","0.32631"
"1.27400","1.68825","0.31753"
"1.30000","1.71423","0.32260"
"1.32600","1.74016","0.33301"
"1.35200","1.76620","0.33764"
"1.37800","1.79223","0.34410"
"1.40400","1.81832","0.34737"
"1.43000","1.84430","0.35070"
"1.45600","1.87029","0.35189"
"1.48200","1.89621","0.36055"
"1.50800","1.92220","0.36112"
"1.53400","1.94813","0.36730"
"1.56000","1.97416","0.37661"
"1.58600","2.00020","0.38810"
"1.61200","2.02629","0.40157"
"1.63800","2.05232","0.39667"
"1.66400","2.07836","0.40045"
"1.69000","2.10423","0.40300"
"1.71600","2.13027","0.41408"
"1.74200","2.15614","0.41761"
"1.76800","2.18218","0.42464"
"1.79400","2.20816","0.42473"
"1.82000","2.23430","0.43724"
"1.84600","2.26029","0.44087"
"1.87200","2.28632","0.45015"
"1.89800","2.31225","0.44751"
"1.92400","2.33823","0.44578"
"1.95000","2.36421","0.44732"
"1.97600","2.39020","0.46142"
"2.00200","2.41623","0.45928"
"2.02800","2.44227","0.46374"
"2.05400","2.46830","0.46497"
"2.08000","2.49429","0.47103"
"2.10600","2.52027","0.48705"
"2.13200","2.54625","0.48441"
"2.15800","2.57218","0.48953"
"2.18400","2.59816","0.49478"
"2.21000","2.62414","0.50567"
"2.23600","2.65029","0.51041"
"2.26200","2.67632","0.50565"
"2.28800","2.70230","0.50388"
"2.31400","2.72834","0.52719"
"2.34000","2.75427","0.53058"
"2.36600","2.78020","0.53011"
"2.39200","2.80612","0.53054"
"2.41800","2.83216","0.52920"
"2.44400","2.85825","0.54274"
"2.47000","2.88434","0.54977"
"2.49600","2.91032","0.54719"
"2.52200","2.93630","0.55547"
"2.54800","2.96223","0.57130"
"2.57400","2.98821","0.56998"
"2.60000","3.01414","0.57760"
"2.62600","3.04018","0.57970"
"2.65200","3.06621","0.58682"
"2.67800","3.09230","0.58417"
"2.70400","3.11834","0.59374"
"2.73000","3.14438","0.59717"
"2.75600","3.17025","0.59601"
"2.78200","3.19623","0.60108"
"2.80800","3.22216","0.62535"
"2.83400","3.24814","0.63051"
"2.86000","3.27418","0.62784"
"2.88600","3.30027","0.63049"
"2.91200","3.32630","0.64172"
"2.93800","3.35229","0.65750"
"2.96400","3.37827","0.66673"
"2.99000","3.40420","0.68059"
"3.01600","3.43018","0.69769"
"3.04200","3.45616","0.70516"
"3.06800","3.48220","0.72047"
"3.09400","3.50823","0.73418"
"3.12000","3.53432","0.74318"
"3.14600","3.56030","0.74612"
"3.17200","3.58629","0.76254"
"3.19800","3.61221","0.77457"
"3.22400","3.63820","0.77908"
"3.25000","3.66412","0.79366"
"3.27600","3.69021","0.80389"
"3.30200","3.71625","0.81828"
"3.32800","3.74229","0.83487"
"3.35400","3.76827","0.85089"
"3.38000","3.79430","0.86133"
"3.40600","3.82023","0.87155"
"3.43200","3.84621","0.87595"
"3.45800","3.87214","0.88581"
"3.48400","3.89818","0.89129"
"3.51000","3.92421","0.91055"
"3.53600","3.95036","0.91391"
"3.56200","3.97634","0.93043"
"3.58800","4.00238","0.94674"
"3.61400","4.02825","0.95392"
"3.64000","4.05423","0.95593"
"3.66600","4.08016","0.97525"
"3.69200","4.10620","0.98508"
"3.71800","4.13218","0.99507"
"3.74400","4.15827","1.00490"
"3.77000","4.18425","1.01418"
"3.79600","4.21029","1.01608"
"3.82200","4.23627","1.03181"
"3.84800","4.26225","1.04726"
"3.87400","4.28818","0.99122"
"3.90000","4.31416","0.92178"
