General : End date,"11/2/2022 11:50 AM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"480.00000",mm/min
General : Start date,"11/2/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.28682","0.03544"
"0.02600","0.32480","0.06151"
"0.05200","0.43929","0.10122"
"0.07800","0.62877","0.13808"
"0.10400","0.87632","0.23713"
"0.13000","1.14761","0.34725"
"0.15600","1.43009","0.41564"
"0.18200","1.69543","0.41893"
"0.20800","1.93318","0.47186"
"0.23400","2.15620","0.53468"
"0.26000","2.37209","0.58631"
"0.28600","2.58455","0.62371"
"0.31200","2.79514","0.66074"
"0.33800","3.00471","0.69795"
"0.36400","3.21354","0.73585"
"0.39000","3.42204","0.76367"
"0.41600","3.63032","0.79224"
"0.44200","3.83855","0.81921"
"0.46800","4.04663","0.83461"
"0.49400","4.25470","0.84732"
"0.52000","4.46277","0.87436"
"0.54600","4.67079","0.90732"
"0.57200","4.87880","0.95120"
"0.59800","5.08671","0.98776"
"0.62400","5.29473","1.03938"
"0.65000","5.50275","1.08197"
"0.67600","5.71082","1.13351"
"0.70200","5.91879","1.16322"
"0.72800","6.12680","1.20724"
"0.75400","6.33482","1.24107"
"0.78000","6.54284","1.27369"
"0.80600","6.75080","1.31230"
"0.83200","6.95877","1.35195"
"0.85800","7.16684","1.39605"
"0.88400","7.37486","1.42833"
"0.91000","7.58282","1.46414"
"0.93600","7.79079","1.51400"
"0.96200","7.99886","1.56140"
"0.98800","8.20682","1.62935"
"1.01400","8.41479","1.72631"
"1.04000","8.62280","1.85344"
"1.06600","8.83082","2.03462"
"1.09200","9.03879","2.24645"
"1.11800","9.24680","2.46662"
"1.14400","9.45477","2.78243"
"1.17000","9.66279","3.14291"
"1.19600","9.87075","3.52174"
"1.21400","10.01475","3.67346"
