General : End date,"11/2/2022 11:43 AM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"6.00000",mm/min
General : Start date,"11/2/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.83362","0.03869"
"0.02600","0.83400","0.03462"
"0.05200","0.83545","0.03544"
"0.07800","0.83823","0.03080"
"0.10400","0.84177","0.03094"
"0.13000","0.84514","0.02832"
"0.15600","0.84841","0.03265"
"0.18200","0.85141","0.04094"
"0.20800","0.85425","0.05344"
"0.23400","0.85698","0.05485"
"0.26000","0.85966","0.03650"
"0.28600","0.86229","0.03708"
"0.31200","0.86496","0.04626"
"0.33800","0.86759","0.05420"
"0.36400","0.87027","0.03714"
"0.39000","0.87279","0.03301"
"0.41600","0.87546","0.04650"
"0.44200","0.87798","0.04113"
"0.46800","0.88066","0.04297"
"0.49400","0.88323","0.04993"
"0.52000","0.88586","0.04834"
"0.54600","0.88837","0.05421"
"0.57200","0.89105","0.05728"
"0.59800","0.89362","0.05238"
"0.62400","0.89620","0.04837"
"0.65000","0.89871","0.06068"
"0.67600","0.90139","0.05556"
"0.70200","0.90396","0.04929"
"0.72800","0.90654","0.06189"
"0.75400","0.90916","0.04913"
"0.78000","0.91184","0.04676"
"0.80600","0.91436","0.04662"
"0.83200","0.91704","0.05304"
"0.85800","0.91966","0.06346"
"0.88400","0.92234","0.06040"
"0.91000","0.92486","0.06692"
"0.93600","0.92748","0.06211"
"0.96200","0.93011","0.05885"
"0.98800","0.93268","0.05112"
"1.01400","0.93525","0.04715"
"1.04000","0.93788","0.06117"
"1.06600","0.94045","0.06888"
"1.09200","0.94307","0.06485"
"1.11800","0.94564","0.06254"
"1.14400","0.94821","0.06761"
"1.17000","0.95073","0.06811"
"1.19600","0.95330","0.06034"
"1.22200","0.95593","0.05380"
"1.24800","0.95850","0.04834"
"1.27400","0.96112","0.05113"
"1.30000","0.96375","0.06004"
"1.32600","0.96637","0.06037"
"1.35200","0.96900","0.06606"
"1.37800","0.97168","0.06181"
"1.40400","0.97425","0.05447"
"1.43000","0.97682","0.05941"
"1.45600","0.97939","0.06244"
"1.48200","0.98213","0.07366"
"1.50800","0.98464","0.06855"
"1.53400","0.98721","0.07529"
"1.56000","0.98984","0.07049"
"1.58600","0.99252","0.06008"
"1.61200","0.99504","0.05704"
"1.63800","0.99755","0.05301"
"1.66400","1.00018","0.05759"
"1.69000","1.00280","0.06207"
"1.71600","1.00532","0.06476"
"1.74200","1.00789","0.05923"
"1.76800","1.01052","0.07280"
"1.79400","1.01314","0.07133"
"1.82000","1.01566","0.07419"
"1.84600","1.01834","0.07966"
"1.87200","1.02091","0.07166"
"1.89800","1.02364","0.07124"
"1.92400","1.02621","0.08272"
"1.95000","1.02884","0.07352"
"1.97600","1.03141","0.07323"
"2.00200","1.03409","0.07280"
"2.02800","1.03666","0.07416"
"2.05400","1.03923","0.07272"
"2.08000","1.04175","0.07244"
"2.10600","1.04454","0.07043"
"2.13200","1.04700","0.07548"
"2.15800","1.04957","0.08042"
"2.18400","1.05220","0.08152"
"2.21000","1.05482","0.08170"
"2.23600","1.05729","0.07887"
"2.26200","1.05991","0.08237"
"2.28800","1.06254","0.07316"
"2.31400","1.06521","0.07926"
"2.34000","1.06773","0.07829"
"2.36600","1.07036","0.07646"
"2.39200","1.07298","0.07149"
"2.41800","1.07561","0.07862"
"2.44400","1.07818","0.08192"
"2.47000","1.08086","0.08633"
"2.49600","1.08343","0.08651"
"2.52200","1.08605","0.08135"
"2.54800","1.08868","0.08442"
"2.57400","1.09125","0.09269"
"2.60000","1.09382","0.08451"
"2.62600","1.09645","0.08159"
"2.65200","1.09907","0.08224"
"2.67800","1.10159","0.08824"
"2.70400","1.10421","0.08928"
"2.73000","1.10684","0.09184"
"2.75600","1.10941","0.07934"
"2.78200","1.11193","0.08055"
"2.80800","1.11455","0.08125"
"2.83400","1.11718","0.08461"
"2.86000","1.11975","0.08194"
"2.88600","1.12238","0.08637"
"2.91200","1.12505","0.08691"
"2.93800","1.12757","0.08712"
"2.96400","1.13020","0.08754"
"2.99000","1.13282","0.09489"
"3.01600","1.13555","0.09257"
"3.04200","1.13802","0.10469"
"3.06800","1.14064","0.09643"
"3.09400","1.14327","0.09489"
"3.12000","1.14589","0.10097"
"3.14600","1.14841","0.10308"
"3.17200","1.15109","0.10359"
"3.19800","1.15366","0.09302"
"3.22400","1.15629","0.08843"
"3.25000","1.15880","0.08288"
"3.27600","1.16148","0.09972"
"3.30200","1.16400","0.10525"
"3.32800","1.16662","0.10592"
"3.35400","1.16914","0.09963"
"3.38000","1.17177","0.10104"
"3.40600","1.17429","0.10213"
"3.43200","1.17702","0.10908"
"3.45800","1.17959","0.10557"
"3.48400","1.18216","0.09633"
"3.51000","1.18479","0.10719"
"3.53600","1.18746","0.10955"
"3.56200","1.19004","0.11160"
"3.58800","1.19261","0.11661"
"3.61400","1.19523","0.11275"
"3.64000","1.19786","0.10360"
"3.66600","1.20037","0.10253"
"3.69200","1.20300","0.11462"
"3.71800","1.20563","0.11883"
"3.74400","1.20825","0.11264"
"3.77000","1.21077","0.10379"
"3.79600","1.21339","0.10920"
"3.82200","1.21602","0.10151"
"3.84800","1.21854","0.10467"
"3.87400","1.22105","0.10800"
"3.90000","1.22373","0.11436"
