General : End date,"11/2/2022 11:45 AM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"300.00000",mm/min
General : Start date,"11/2/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.46237","0.02488"
"0.02600","0.49821","0.05111"
"0.05200","0.60991","0.10879"
"0.07800","0.77020","0.16538"
"0.10400","0.93359","0.21345"
"0.13000","1.08702","0.28229"
"0.15600","1.23145","0.36686"
"0.18200","1.37009","0.42635"
"0.20800","1.50514","0.48529"
"0.23400","1.63811","0.54153"
"0.26000","1.76989","0.58776"
"0.28600","1.90087","0.54862"
"0.31200","2.03148","0.48130"
"0.33800","2.16188","0.47243"
"0.36400","2.29205","0.49712"
"0.39000","2.42218","0.51687"
"0.41600","2.55225","0.55370"
"0.44200","2.68232","0.57904"
"0.46800","2.81234","0.60260"
"0.49400","2.94236","0.61069"
"0.52000","3.07238","0.63628"
"0.54600","3.20234","0.66034"
"0.57200","3.33230","0.67499"
"0.59800","3.46232","0.69165"
"0.62400","3.59229","0.71027"
"0.65000","3.72236","0.72479"
"0.67600","3.85237","0.74437"
"0.70200","3.98234","0.75362"
"0.72800","4.11236","0.76097"
"0.75400","4.24232","0.77176"
"0.78000","4.37234","0.79969"
"0.80600","4.50236","0.83204"
"0.83200","4.63238","0.85143"
"0.85800","4.76239","0.87977"
"0.88400","4.89236","0.90835"
"0.91000","5.02232","0.94363"
"0.93600","5.15229","0.98854"
"0.96200","5.28230","1.01968"
"0.98800","5.41238","1.04837"
"1.01400","5.54239","1.06537"
"1.04000","5.67241","1.08372"
"1.06600","5.80237","1.10568"
"1.09200","5.93234","1.12529"
"1.11800","6.06236","1.15355"
"1.14400","6.19238","1.17470"
"1.17000","6.32239","1.19006"
"1.19600","6.45241","1.21636"
"1.22200","6.58232","1.24340"
"1.24800","6.71229","1.25490"
"1.27400","6.84230","1.27267"
"1.30000","6.97232","1.30452"
"1.32600","7.10239","1.32794"
"1.35200","7.23241","1.34511"
"1.37800","7.36243","1.36702"
"1.40400","7.49234","1.39133"
"1.43000","7.62236","1.42033"
"1.45600","7.75232","1.45517"
"1.48200","7.88234","1.48680"
"1.50800","8.01236","1.50581"
"1.53400","8.14237","1.53448"
"1.56000","8.27234","1.59153"
"1.58600","8.40236","1.65095"
"1.61200","8.53232","1.71946"
"1.63800","8.66229","1.81124"
"1.66400","8.79230","1.92083"
"1.69000","8.92232","2.04369"
"1.71600","9.05234","2.20254"
"1.74200","9.18230","2.43000"
"1.76800","9.31232","2.67493"
"1.79400","9.44234","2.89526"
"1.82000","9.57230","3.08955"
"1.84600","9.70232","3.29999"
"1.87200","9.83228","3.51305"
"1.89800","9.96230","3.65493"
"1.90600","10.00232","3.68170"
