General : End date,"10/11/2022 3:43 PM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"60.00000",mm/min
General : Start date,"10/11/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.19302","0.04368"
"0.02600","0.20121","0.03709"
"0.05200","0.22661","0.05341"
"0.07800","0.25838","0.06061"
"0.10400","0.28982","0.06077"
"0.13000","0.31961","0.08426"
"0.15600","0.34784","0.08662"
"0.18200","0.37521","0.08778"
"0.20800","0.40189","0.10055"
"0.23400","0.42836","0.11716"
"0.26000","0.45455","0.12841"
"0.28600","0.48075","0.13179"
"0.31200","0.50684","0.14028"
"0.33800","0.53304","0.14860"
"0.36400","0.55907","0.17100"
"0.39000","0.58505","0.16975"
"0.41600","0.61098","0.17027"
"0.44200","0.63702","0.17494"
"0.46800","0.66295","0.18801"
"0.49400","0.68898","0.20414"
"0.52000","0.71496","0.20519"
"0.54600","0.74105","0.21323"
"0.57200","0.76704","0.22227"
"0.59800","0.79307","0.22455"
"0.62400","0.81900","0.23371"
"0.65000","0.84498","0.23463"
"0.67600","0.87091","0.23729"
"0.70200","0.89695","0.25108"
"0.72800","0.92293","0.25615"
"0.75400","0.94902","0.26877"
"0.78000","0.97505","0.28021"
"0.80600","1.00104","0.29548"
"0.83200","1.02702","0.28490"
"0.85800","1.05295","0.28305"
"0.88400","1.07893","0.29769"
"0.91000","1.10486","0.30968"
"0.93600","1.13095","0.31609"
"0.96200","1.15698","0.32492"
"0.98800","1.18307","0.33188"
"1.01400","1.20911","0.33119"
"1.04000","1.23509","0.33806"
"1.06600","1.26102","0.34356"
"1.09200","1.28700","0.35113"
"1.11800","1.31293","0.36774"
"1.14400","1.33896","0.37475"
"1.17000","1.36500","0.37220"
"1.19600","1.39109","0.38651"
"1.22200","1.41702","0.40063"
"1.24800","1.44311","0.40552"
"1.27400","1.46898","0.39780"
"1.30000","1.49502","0.40012"
"1.32600","1.52095","0.40735"
"1.35200","1.54698","0.41614"
"1.37800","1.57302","0.44251"
"1.40400","1.59911","0.43835"
"1.43000","1.62509","0.42836"
"1.45600","1.65107","0.43851"
"1.48200","1.67700","0.45058"
"1.50800","1.70298","0.45709"
"1.53400","1.72891","0.46014"
"1.56000","1.75500","0.47038"
"1.58600","1.78098","0.48042"
"1.61200","1.80707","0.48879"
"1.63800","1.83305","0.48875"
"1.66400","1.85904","0.49771"
"1.69000","1.88502","0.49724"
"1.71600","1.91100","0.50322"
"1.74200","1.93693","0.51064"
"1.76800","1.96296","0.50995"
"1.79400","1.98900","0.51412"
"1.82000","2.01504","0.52009"
"1.84600","2.04107","0.53572"
"1.87200","2.06705","0.53891"
"1.89800","2.09304","0.54132"
"1.92400","2.11896","0.55581"
"1.95000","2.14500","0.55936"
"1.97600","2.17093","0.55680"
"2.00200","2.19696","0.56964"
"2.02800","2.22300","0.57021"
"2.05400","2.24904","0.57187"
"2.08000","2.27507","0.58403"
"2.10600","2.30105","0.59026"
"2.13200","2.32698","0.59407"
"2.15800","2.35296","0.59908"
"2.18400","2.37889","0.61331"
"2.21000","2.40493","0.61429"
"2.23600","2.43096","0.61318"
"2.26200","2.45705","0.61598"
"2.28800","2.48304","0.61730"
"2.31400","2.50912","0.62949"
"2.34000","2.53500","0.62733"
"2.36600","2.56104","0.63147"
"2.39200","2.58691","0.63031"
"2.41800","2.61295","0.64299"
"2.44400","2.63898","0.64713"
"2.47000","2.66507","0.65649"
"2.49600","2.69105","0.66144"
"2.52200","2.71704","0.67551"
"2.54800","2.74302","0.67463"
"2.57400","2.76900","0.67227"
"2.60000","2.79493","0.68132"
"2.62600","2.82096","0.68406"
"2.65200","2.84700","0.68534"
"2.67800","2.87304","0.69822"
"2.70400","2.89907","0.70226"
"2.73000","2.92505","0.71113"
"2.75600","2.95104","0.71982"
"2.78200","2.97702","0.72908"
"2.80800","3.00295","0.72513"
"2.83400","3.02893","0.72722"
"2.86000","3.05496","0.73084"
"2.88600","3.08100","0.73534"
"2.91200","3.10709","0.74825"
"2.93800","3.13307","0.75333"
"2.96400","3.15911","0.75178"
"2.99000","3.18504","0.75062"
"3.01600","3.21096","0.74811"
"3.04200","3.23689","0.75594"
"3.06800","3.26293","0.76135"
"3.09400","3.28896","0.76395"
"3.12000","3.31511","0.77142"
"3.14600","3.34109","0.78129"
"3.17200","3.36712","0.77884"
"3.19800","3.39300","0.78621"
"3.22400","3.41898","0.80125"
"3.25000","3.44491","0.78967"
"3.27600","3.47095","0.79546"
"3.30200","3.49693","0.80219"
"3.32800","3.52307","0.80762"
"3.35400","3.54905","0.82018"
"3.38000","3.57514","0.81034"
"3.40600","3.60102","0.80614"
"3.43200","3.62700","0.80851"
"3.45800","3.65293","0.82418"
"3.48400","3.67891","0.83523"
"3.51000","3.70495","0.83343"
"3.53600","3.73104","0.83700"
"3.56200","3.75707","0.83097"
"3.58800","3.78305","0.84144"
"3.61400","3.80904","0.84706"
"3.64000","3.83496","0.86167"
"3.66600","3.86095","0.85509"
"3.69200","3.88693","0.85564"
"3.71800","3.91291","0.85336"
"3.74400","3.93900","0.85721"
"3.77000","3.96504","0.86172"
"3.79600","3.99107","0.86517"
"3.82200","4.01705","0.87395"
"3.84800","4.04298","0.87607"
"3.87400","4.06896","0.87838"
"3.90000","4.09489","0.88377"
