General : End date,"10/11/2022 3:23 PM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"300.00000",mm/min
General : Start date,"10/11/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.10136","0.01816"
"0.02600","0.13789","0.05458"
"0.05200","0.25104","0.11651"
"0.07800","0.41154","0.14865"
"0.10400","0.57423","0.19308"
"0.13000","0.72707","0.24011"
"0.15600","0.87112","0.28835"
"0.18200","1.00939","0.34691"
"0.20800","1.14434","0.40142"
"0.23400","1.27725","0.45568"
"0.26000","1.40898","0.49635"
"0.28600","1.54007","0.52461"
"0.31200","1.67062","0.56587"
"0.33800","1.80091","0.59820"
"0.36400","1.93114","0.63965"
"0.39000","2.06121","0.67302"
"0.41600","2.19129","0.69033"
"0.44200","2.32136","0.72832"
"0.46800","2.45138","0.75860"
"0.49400","2.58139","0.78971"
"0.52000","2.71136","0.82486"
"0.54600","2.84143","0.85002"
"0.57200","2.97139","0.87790"
"0.59800","3.10141","0.90001"
"0.62400","3.23143","0.92040"
"0.65000","3.36134","0.95059"
"0.67600","3.49141","0.96464"
"0.70200","3.62143","0.98612"
"0.72800","3.75139","1.00795"
"0.75400","3.88141","1.03906"
"0.78000","4.01132","1.06587"
"0.80600","4.14134","1.06828"
"0.83200","4.27136","1.08894"
"0.85800","4.40143","1.10899"
"0.88400","4.53145","1.12604"
"0.91000","4.66141","1.14155"
"0.93600","4.79143","1.16650"
"0.96200","4.92139","1.17443"
"0.98800","5.05136","1.18631"
"1.01400","5.18143","1.20055"
"1.04000","5.31145","1.21598"
"1.06600","5.44141","1.21896"
"1.09200","5.57138","1.23413"
"1.11800","5.70134","1.24050"
"1.14400","5.83136","1.26124"
"1.17000","5.96137","1.27785"
"1.19600","6.09139","1.29159"
"1.22200","6.22146","1.32160"
"1.24800","6.35148","1.35108"
"1.27400","6.48139","1.37598"
"1.30000","6.61136","1.39827"
"1.32600","6.74143","1.43588"
"1.35200","6.87145","1.47518"
"1.37800","7.00141","1.50886"
"1.40400","7.13143","1.53559"
"1.43000","7.26139","1.57557"
"1.45600","7.39136","1.60982"
"1.48200","7.52138","1.64171"
"1.50800","7.65139","1.68830"
"1.53400","7.78146","1.72028"
"1.56000","7.91148","1.75534"
"1.58600","8.04145","1.78756"
"1.61200","8.17141","1.82679"
"1.63800","8.30138","1.85848"
"1.66400","8.43139","1.88527"
"1.69000","8.56141","1.92347"
"1.71600","8.69137","1.95571"
"1.74200","8.82139","1.98074"
"1.76800","8.95130","2.00427"
"1.79400","9.08138","2.03184"
"1.82000","9.21134","2.05412"
"1.84600","9.34136","2.07136"
"1.87200","9.47143","2.09904"
"1.89800","9.60139","2.13393"
"1.92400","9.73141","2.15573"
"1.95000","9.86143","2.19079"
"1.97600","9.99139","2.22361"
"1.97800","10.00136","2.22587"
