General : End date,"10/17/2022 11:35 AM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"240.00000",mm/min
General : Start date,"10/17/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.41925","0.03226"
"0.02600","0.45311","0.05972"
"0.05200","0.55554","0.11417"
"0.07800","0.68277","0.15095"
"0.10400","0.80796","0.20291"
"0.13000","0.92620","0.26335"
"0.15600","1.03886","0.31476"
"0.18200","1.14798","0.36377"
"0.20800","1.25496","0.39757"
"0.23400","1.36071","0.44418"
"0.26000","1.46577","0.48516"
"0.28600","1.57034","0.52562"
"0.31200","1.67470","0.55345"
"0.33800","1.77895","0.59609"
"0.36400","1.88309","0.61650"
"0.39000","1.98713","0.66346"
"0.41600","2.09116","0.70594"
"0.44200","2.19520","0.74059"
"0.46800","2.29918","0.76036"
"0.49400","2.40316","0.78944"
"0.52000","2.50720","0.82232"
"0.54600","2.61118","0.85452"
"0.57200","2.71516","0.87508"
"0.59800","2.81914","0.89865"
"0.62400","2.92318","0.93146"
"0.65000","3.02716","0.95769"
"0.67600","3.13125","0.99013"
"0.70200","3.23518","1.00809"
"0.72800","3.33921","1.02813"
"0.75400","3.44320","1.05438"
"0.78000","3.54723","1.07263"
"0.80600","3.65116","1.10060"
"0.83200","3.75525","1.12691"
"0.85800","3.85918","1.14555"
"0.88400","3.96321","1.14878"
"0.91000","4.06720","1.16446"
"0.93600","4.17118","1.19874"
"0.96200","4.27511","1.22617"
"0.98800","4.37920","1.23808"
"1.01400","4.48318","1.25154"
"1.04000","4.58721","1.25499"
"1.06600","4.69125","1.27750"
"1.09200","4.79523","1.28714"
"1.11800","4.89916","1.29239"
"1.14400","5.00320","1.31461"
"1.17000","5.10718","1.31553"
"1.19600","5.21116","1.33178"
"1.22200","5.31520","1.33898"
"1.24800","5.41923","1.35870"
"1.27400","5.52321","1.36555"
"1.30000","5.62725","1.37606"
"1.32600","5.73123","1.37679"
"1.35200","5.83516","1.39605"
"1.37800","5.93920","1.40671"
"1.40400","6.04312","1.41941"
"1.43000","6.14721","1.40862"
"1.45600","6.25125","1.42931"
"1.48200","6.35523","1.43291"
"1.50800","6.45921","1.45324"
"1.53400","6.56325","1.47129"
"1.56000","6.66723","1.49608"
"1.58600","6.77121","1.52936"
"1.61200","6.87520","1.57110"
"1.63800","6.97923","1.59656"
"1.66400","7.08321","1.61864"
"1.69000","7.18725","1.65603"
"1.71600","7.29123","1.67790"
"1.74200","7.39527","1.71617"
"1.76800","7.49920","1.75781"
"1.79400","7.60323","1.79482"
"1.82000","7.70716","1.82739"
"1.84600","7.81125","1.85843"
"1.87200","7.91518","1.89246"
"1.89800","8.01921","1.93103"
"1.92400","8.12325","1.95832"
"1.95000","8.22729","1.99182"
"1.97600","8.33121","2.02072"
"2.00200","8.43519","2.06129"
"2.02800","8.53918","2.09237"
"2.05400","8.64316","2.12635"
"2.08000","8.74714","2.15877"
"2.10600","8.85118","2.18938"
"2.13200","8.95516","2.22021"
"2.15800","9.05920","2.25300"
"2.18400","9.16318","2.28556"
"2.21000","9.26716","2.32382"
"2.23600","9.37120","2.34295"
"2.26200","9.47518","2.38166"
"2.28800","9.57916","2.41646"
"2.31400","9.68314","2.45199"
"2.34000","9.78723","2.46728"
"2.36600","9.89121","2.48830"
"2.39200","9.99520","2.52757"
"2.39400","10.00318","2.53073"
