General : End date,"10/11/2022 3:30 PM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"180.00000",mm/min
General : Start date,"10/11/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.22602","0.03725"
"0.02600","0.25280","0.05566"
"0.05200","0.33129","0.08997"
"0.07800","0.42627","0.10749"
"0.10400","0.51927","0.13615"
"0.13000","0.60734","0.16151"
"0.15600","0.69139","0.19334"
"0.18200","0.77298","0.23927"
"0.20800","0.85307","0.26124"
"0.23400","0.93220","0.28515"
"0.26000","1.01089","0.31090"
"0.28600","1.08938","0.34320"
"0.31200","1.16759","0.36641"
"0.33800","1.24580","0.38588"
"0.36400","1.32391","0.40275"
"0.39000","1.40191","0.42256"
"0.41600","1.48007","0.44605"
"0.44200","1.55802","0.46648"
"0.46800","1.63602","0.49052"
"0.49400","1.71402","0.50957"
"0.52000","1.79196","0.52883"
"0.54600","1.86996","0.54491"
"0.57200","1.94802","0.56018"
"0.59800","2.02596","0.58454"
"0.62400","2.10402","0.59443"
"0.65000","2.18196","0.62236"
"0.67600","2.25996","0.63882"
"0.70200","2.33802","0.65811"
"0.72800","2.41602","0.67326"
"0.75400","2.49396","0.68487"
"0.78000","2.57202","0.70405"
"0.80600","2.64996","0.72202"
"0.83200","2.72802","0.73785"
"0.85800","2.80602","0.75136"
"0.88400","2.88396","0.77629"
"0.91000","2.96202","0.79340"
"0.93600","3.04002","0.79544"
"0.96200","3.11802","0.81261"
"0.98800","3.19607","0.82761"
"1.01400","3.27402","0.83544"
"1.04000","3.35196","0.85188"
"1.06600","3.43007","0.86138"
"1.09200","3.50802","0.87965"
"1.11800","3.58602","0.89364"
"1.14400","3.66402","0.90270"
"1.17000","3.74196","0.91160"
"1.19600","3.81996","0.91943"
"1.22200","3.89796","0.93571"
"1.24800","3.97591","0.95158"
"1.27400","4.05396","0.96560"
"1.30000","4.13196","0.97334"
"1.32600","4.20996","0.98662"
"1.35200","4.28807","0.99323"
"1.37800","4.36602","0.99456"
"1.40400","4.44402","1.01343"
"1.43000","4.52202","1.02311"
"1.45600","4.59996","1.04637"
"1.48200","4.67802","1.04191"
"1.50800","4.75602","1.04361"
"1.53400","4.83396","1.05163"
"1.56000","4.91202","1.05752"
"1.58600","4.98996","1.07166"
"1.61200","5.06796","1.08187"
"1.63800","5.14602","1.09293"
"1.66400","5.22402","1.08951"
"1.69000","5.30202","1.09621"
"1.71600","5.38007","1.10019"
"1.74200","5.45796","1.10160"
"1.76800","5.53596","1.11715"
"1.79400","5.61397","1.12772"
"1.82000","5.69191","1.13485"
"1.84600","5.76996","1.13980"
"1.87200","5.84796","1.14846"
"1.89800","5.92596","1.16451"
"1.92400","6.00402","1.17026"
"1.95000","6.08202","1.17684"
"1.97600","6.16002","1.19836"
"2.00200","6.23807","1.21180"
"2.02800","6.31602","1.23116"
"2.05400","6.39402","1.24867"
"2.08000","6.47196","1.26762"
"2.10600","6.54996","1.28633"
"2.13200","6.62802","1.29419"
"2.15800","6.70602","1.31458"
"2.18400","6.78402","1.32864"
"2.21000","6.86207","1.34576"
"2.23600","6.94002","1.36340"
"2.26200","7.01802","1.37752"
"2.28800","7.09602","1.39835"
"2.31400","7.17396","1.43433"
"2.34000","7.25196","1.43957"
"2.36600","7.32991","1.46032"
"2.39200","7.40791","1.47627"
"2.41800","7.48602","1.48602"
"2.44400","7.56396","1.49479"
"2.47000","7.64202","1.52095"
"2.49600","7.72007","1.53369"
"2.52200","7.79802","1.55116"
"2.54800","7.87607","1.58746"
"2.57400","7.95407","1.59315"
"2.60000","8.03196","1.59408"
"2.62600","8.10996","1.62717"
"2.65200","8.18796","1.64443"
"2.67800","8.26596","1.65277"
"2.70400","8.34396","1.66762"
"2.73000","8.42196","1.69267"
"2.75600","8.49996","1.69433"
"2.78200","8.57802","1.70511"
"2.80800","8.65591","1.72956"
"2.83400","8.73396","1.75091"
"2.86000","8.81196","1.76399"
"2.88600","8.88991","1.77674"
"2.91200","8.96796","1.79967"
"2.93800","9.04596","1.80812"
"2.96400","9.12396","1.80141"
"2.99000","9.20196","1.81992"
"3.01600","9.27996","1.83910"
"3.04200","9.35796","1.84732"
"3.06800","9.43602","1.86049"
"3.09400","9.51402","1.87102"
"3.12000","9.59202","1.89491"
"3.14600","9.67002","1.90893"
"3.17200","9.74796","1.94409"
"3.19800","9.82602","1.95761"
"3.22400","9.90402","1.98099"
"3.25000","9.98196","2.00086"
"3.25800","10.00596","2.00309"
