General : End date,"10/17/2022 11:38 AM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"240.00000",mm/min
General : Start date,"10/17/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.40543","0.02885"
"0.02600","0.43939","0.05319"
"0.05200","0.54209","0.10230"
"0.07800","0.66943","0.13469"
"0.10400","0.79452","0.18455"
"0.13000","0.91259","0.24267"
"0.15600","1.02520","0.30227"
"0.18200","1.13427","0.34685"
"0.20800","1.24120","0.37777"
"0.23400","1.34695","0.42149"
"0.26000","1.45195","0.46278"
"0.28600","1.55657","0.51096"
"0.31200","1.66088","0.55780"
"0.33800","1.76512","0.57137"
"0.36400","1.86932","0.61003"
"0.39000","1.97336","0.65574"
"0.41600","2.07734","0.68758"
"0.44200","2.18138","0.71839"
"0.46800","2.28541","0.74903"
"0.49400","2.38939","0.78640"
"0.52000","2.49343","0.80189"
"0.54600","2.59736","0.83098"
"0.57200","2.70139","0.86437"
"0.59800","2.80538","0.89945"
"0.62400","2.90936","0.92111"
"0.65000","3.01339","0.94434"
"0.67600","3.11743","0.96071"
"0.70200","3.22136","0.98395"
"0.72800","3.32539","1.00834"
"0.75400","3.42937","1.03836"
"0.78000","3.53341","1.06272"
"0.80600","3.63739","1.08115"
"0.83200","3.74143","1.10280"
"0.85800","3.84541","1.11953"
"0.88400","3.94945","1.13659"
"0.91000","4.05338","1.16054"
"0.93600","4.15741","1.17629"
"0.96200","4.26134","1.19225"
"0.98800","4.36538","1.20576"
"1.01400","4.46936","1.22460"
"1.04000","4.57339","1.23757"
"1.06600","4.67743","1.25209"
"1.09200","4.78141","1.27855"
"1.11800","4.88539","1.27971"
"1.14400","4.98938","1.30488"
"1.17000","5.09341","1.31706"
"1.19600","5.19739","1.32524"
"1.22200","5.30137","1.33027"
"1.24800","5.40541","1.33874"
"1.27400","5.50945","1.33762"
"1.30000","5.61343","1.36145"
"1.32600","5.71741","1.36629"
"1.35200","5.82139","1.37161"
"1.37800","5.92537","1.36830"
"1.40400","6.02936","1.39361"
"1.43000","6.13339","1.41379"
"1.45600","6.23743","1.40241"
"1.48200","6.34146","1.40223"
"1.50800","6.44539","1.42312"
"1.53400","6.54948","1.43871"
"1.56000","6.65341","1.47731"
"1.58600","6.75745","1.52355"
"1.61200","6.86138","1.55517"
"1.63800","6.96546","1.58050"
"1.66400","7.06939","1.59647"
"1.69000","7.17343","1.63077"
"1.71600","7.27741","1.66334"
"1.74200","7.38145","1.68478"
"1.76800","7.48537","1.72143"
"1.79400","7.58941","1.76879"
"1.82000","7.69334","1.79560"
"1.84600","7.79737","1.83499"
"1.87200","7.90141","1.87461"
"1.89800","8.00539","1.90849"
"1.92400","8.10943","1.93055"
"1.95000","8.21346","1.96808"
"1.97600","8.31745","2.00514"
"2.00200","8.42143","2.04639"
"2.02800","8.52541","2.07498"
"2.05400","8.62939","2.11719"
"2.08000","8.73337","2.13365"
"2.10600","8.83736","2.17056"
"2.13200","8.94139","2.19396"
"2.15800","9.04538","2.23543"
"2.18400","9.14941","2.27539"
"2.21000","9.25334","2.30062"
"2.23600","9.35738","2.32463"
"2.26200","9.46136","2.36138"
"2.28800","9.56539","2.38461"
"2.31400","9.66932","2.41552"
"2.34000","9.77341","2.44643"
"2.36600","9.87739","2.48117"
"2.39200","9.98143","2.50120"
"2.39800","10.00543","2.50446"
