General : End date,"10/11/2022 3:18 PM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"300.00000",mm/min
General : Start date,"10/11/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.22425","0.02593"
"0.02600","0.26030","0.06454"
"0.05200","0.37227","0.12339"
"0.07800","0.53202","0.16583"
"0.10400","0.69514","0.19900"
"0.13000","0.84857","0.25504"
"0.15600","0.99311","0.31646"
"0.18200","1.13186","0.36604"
"0.20800","1.26696","0.40910"
"0.23400","1.39998","0.44643"
"0.26000","1.53182","0.49923"
"0.28600","1.66280","0.52127"
"0.31200","1.79341","0.56274"
"0.33800","1.92375","0.60010"
"0.36400","2.05393","0.63194"
"0.39000","2.18405","0.66446"
"0.41600","2.31407","0.70789"
"0.44200","2.44420","0.73308"
"0.46800","2.57421","0.76019"
"0.49400","2.70418","0.79577"
"0.52000","2.83425","0.81863"
"0.54600","2.96421","0.84338"
"0.57200","3.09423","0.86098"
"0.59800","3.22425","0.89267"
"0.62400","3.35421","0.91684"
"0.65000","3.48423","0.93771"
"0.67600","3.61425","0.95391"
"0.70200","3.74421","0.96872"
"0.72800","3.87423","0.99604"
"0.75400","4.00420","1.01924"
"0.78000","4.13421","1.02572"
"0.80600","4.26418","1.05817"
"0.83200","4.39425","1.07041"
"0.85800","4.52427","1.07659"
"0.88400","4.65423","1.09588"
"0.91000","4.78425","1.12344"
"0.93600","4.91421","1.13190"
"0.96200","5.04423","1.14629"
"0.98800","5.17425","1.15559"
"1.01400","5.30427","1.17179"
"1.04000","5.43429","1.19319"
"1.06600","5.56425","1.20877"
"1.09200","5.69416","1.20085"
"1.11800","5.82418","1.21475"
"1.14400","5.95420","1.22908"
"1.17000","6.08427","1.25410"
"1.19600","6.21429","1.28226"
"1.22200","6.34430","1.31510"
"1.24800","6.47427","1.37402"
"1.27400","6.60423","1.40472"
"1.30000","6.73425","1.43388"
"1.32600","6.86427","1.47046"
"1.35200","6.99429","1.50359"
"1.37800","7.12430","1.53855"
"1.40400","7.25421","1.57667"
"1.43000","7.38418","1.61242"
"1.45600","7.51425","1.65398"
"1.48200","7.64421","1.68031"
"1.50800","7.77429","1.71877"
"1.53400","7.90430","1.74475"
"1.56000","8.03432","1.78958"
"1.58600","8.16423","1.82890"
"1.61200","8.29420","1.88421"
"1.63800","8.42421","1.90612"
"1.66400","8.55423","1.93225"
"1.69000","8.68420","1.97182"
"1.71600","8.81421","2.00694"
"1.74200","8.94418","2.03029"
"1.76800","9.07420","2.06384"
"1.79400","9.20421","2.08152"
"1.82000","9.33418","2.12056"
"1.84600","9.46425","2.15551"
"1.87200","9.59427","2.17528"
"1.89800","9.72423","2.19256"
"1.92400","9.85425","2.21096"
"1.95000","9.98421","2.25405"
"1.95400","10.00420","2.25955"
