General : End date,"10/11/2022 3:21 PM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"300.00000",mm/min
General : Start date,"10/11/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.15402","0.03436"
"0.02600","0.19029","0.05681"
"0.05200","0.30305","0.11004"
"0.07800","0.46398","0.15785"
"0.10400","0.62689","0.18887"
"0.13000","0.77973","0.25396"
"0.15600","0.92379","0.30979"
"0.18200","1.06205","0.36707"
"0.20800","1.19695","0.39865"
"0.23400","1.32991","0.43825"
"0.26000","1.46164","0.48883"
"0.28600","1.59268","0.52200"
"0.31200","1.72323","0.54420"
"0.33800","1.85352","0.57475"
"0.36400","1.98370","0.62635"
"0.39000","2.11382","0.65951"
"0.41600","2.24389","0.69285"
"0.44200","2.37396","0.71996"
"0.46800","2.50398","0.75200"
"0.49400","2.63400","0.78393"
"0.52000","2.76396","0.83230"
"0.54600","2.89398","0.85011"
"0.57200","3.02400","0.87413"
"0.59800","3.15402","0.89758"
"0.62400","3.28398","0.91731"
"0.65000","3.41400","0.93749"
"0.67600","3.54402","0.95261"
"0.70200","3.67404","0.98355"
"0.72800","3.80400","1.00561"
"0.75400","3.93396","1.01968"
"0.78000","4.06398","1.04473"
"0.80600","4.19395","1.05821"
"0.83200","4.32402","1.07383"
"0.85800","4.45404","1.09235"
"0.88400","4.58400","1.11417"
"0.91000","4.71402","1.13070"
"0.93600","4.84398","1.14387"
"0.96200","4.97400","1.15865"
"0.98800","5.10402","1.17239"
"1.01400","5.23404","1.18432"
"1.04000","5.36405","1.19326"
"1.06600","5.49402","1.21157"
"1.09200","5.62398","1.21607"
"1.11800","5.75395","1.21645"
"1.14400","5.88396","1.23886"
"1.17000","6.01404","1.25710"
"1.19600","6.14400","1.29577"
"1.22200","6.27407","1.31569"
"1.24800","6.40409","1.32944"
"1.27400","6.53395","1.35187"
"1.30000","6.66402","1.38456"
"1.32600","6.79398","1.44042"
"1.35200","6.92405","1.48090"
"1.37800","7.05402","1.51130"
"1.40400","7.18404","1.53925"
"1.43000","7.31400","1.58418"
"1.45600","7.44396","1.61916"
"1.48200","7.57398","1.63942"
"1.50800","7.70400","1.67648"
"1.53400","7.83407","1.70492"
"1.56000","7.96409","1.74797"
"1.58600","8.09400","1.78897"
"1.61200","8.22402","1.81850"
"1.63800","8.35404","1.84646"
"1.66400","8.48395","1.88040"
"1.69000","8.61402","1.91373"
"1.71600","8.74398","1.94385"
"1.74200","8.87395","1.98000"
"1.76800","9.00396","1.98985"
"1.79400","9.13393","2.04587"
"1.82000","9.26400","2.03521"
"1.84600","9.39396","2.08172"
"1.87200","9.52404","2.10002"
"1.89800","9.65400","2.13659"
"1.92400","9.78402","2.15608"
"1.95000","9.91404","2.18558"
"1.96800","10.00398","2.20763"
