General : End date,"10/11/2022 3:40 PM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"420.00000",mm/min
General : Start date,"10/11/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.26823","0.03060"
"0.02600","0.30595","0.04593"
"0.05200","0.42054","0.11441"
"0.07800","0.61018","0.18992"
"0.10400","0.85516","0.28499"
"0.13000","1.09671","0.34072"
"0.15600","1.31764","0.42558"
"0.18200","1.52298","0.48995"
"0.20800","1.71873","0.55405"
"0.23400","1.90880","0.62470"
"0.26000","2.09550","0.68619"
"0.28600","2.28027","0.72294"
"0.31200","2.46391","0.76076"
"0.33800","2.64686","0.80839"
"0.36400","2.82943","0.85109"
"0.39000","3.01179","0.89733"
"0.41600","3.19393","0.95006"
"0.44200","3.37602","0.97766"
"0.46800","3.55805","1.01725"
"0.49400","3.74014","1.04564"
"0.52000","3.92218","1.07741"
"0.54600","4.10416","1.12270"
"0.57200","4.28614","1.14622"
"0.59800","4.46818","1.18011"
"0.62400","4.65021","1.19298"
"0.65000","4.83220","1.21758"
"0.67600","5.01418","1.24718"
"0.70200","5.19616","1.27126"
"0.72800","5.37825","1.27565"
"0.75400","5.56023","1.28901"
"0.78000","5.74221","1.32278"
"0.80600","5.92414","1.34176"
"0.83200","6.10613","1.34458"
"0.85800","6.28821","1.36790"
"0.88400","6.47025","1.39128"
"0.91000","6.65229","1.43225"
"0.93600","6.83421","1.49159"
"0.96200","7.01620","1.53686"
"0.98800","7.19823","1.57453"
"1.01400","7.38027","1.62295"
"1.04000","7.56220","1.67997"
"1.06600","7.74418","1.72927"
"1.09200","7.92621","1.77403"
"1.11800","8.10825","1.82484"
"1.14400","8.29023","1.87398"
"1.17000","8.47221","1.92597"
"1.19600","8.65420","1.96806"
"1.22200","8.83618","2.01393"
"1.24800","9.01821","2.06682"
"1.27400","9.20014","2.09933"
"1.30000","9.38212","2.13944"
"1.32600","9.56416","2.17577"
"1.35200","9.74620","2.21617"
"1.37800","9.92818","2.24118"
"1.39000","10.01218","2.26591"
