General : End date,"11/8/2022 12:45 PM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"300.00000",mm/min
General : Start date,"11/8/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.20025","0.03967"
"0.02600","0.23604","0.06660"
"0.05200","0.34768","0.13085"
"0.07800","0.50796","0.22081"
"0.10400","0.67130","0.31236"
"0.13000","0.82473","0.42322"
"0.15600","0.96921","0.53899"
"0.18200","1.10786","0.63559"
"0.20800","1.24302","0.71977"
"0.23400","1.37598","0.79033"
"0.26000","1.50771","0.86864"
"0.28600","1.63870","0.94405"
"0.31200","1.76936","1.02570"
"0.33800","1.89970","1.09366"
"0.36400","2.02993","1.15293"
"0.39000","2.16011","1.22466"
"0.41600","2.29012","1.29476"
"0.44200","2.42014","1.34761"
"0.46800","2.55021","1.41056"
"0.49400","2.68012","1.47154"
"0.52000","2.81020","1.52707"
"0.54600","2.94016","1.57996"
"0.57200","3.07018","1.63489"
"0.59800","3.20020","1.69954"
"0.62400","3.33021","1.74614"
"0.65000","3.46018","1.79597"
"0.67600","3.59020","1.84994"
"0.70200","3.72016","1.89604"
"0.72800","3.85023","1.96445"
"0.75400","3.98020","2.01866"
"0.78000","4.11027","2.05014"
"0.80600","4.24018","2.09949"
"0.83200","4.37020","2.14461"
"0.85800","4.50021","2.17639"
"0.88400","4.63018","2.21897"
"0.91000","4.76020","2.26393"
"0.93600","4.89021","2.30725"
"0.96200","5.02018","2.33917"
"0.98800","5.15020","2.37320"
"1.01400","5.28016","2.38987"
"1.04000","5.41018","2.40136"
"1.06600","5.54020","2.42248"
"1.09200","5.67021","2.45909"
"1.11800","5.80023","2.50413"
"1.14400","5.93020","2.52857"
"1.17000","6.06021","2.55047"
"1.19600","6.19018","2.58195"
"1.22200","6.32014","2.60670"
"1.24800","6.45016","2.63151"
"1.27400","6.58018","2.66158"
"1.30000","6.71020","2.67204"
"1.32600","6.84027","2.68559"
"1.35200","6.97023","2.71806"
"1.37800","7.10025","2.74018"
"1.40400","7.23021","2.74581"
"1.43000","7.36023","2.75514"
"1.45600","7.49025","2.77055"
"1.48200","7.62021","2.77810"
"1.50800","7.75023","2.77568"
"1.53400","7.88020","2.79461"
"1.56000","8.01016","2.81789"
"1.58600","8.14018","2.82585"
"1.61200","8.27020","2.84536"
"1.63800","8.40027","2.85870"
"1.66400","8.53029","2.88272"
"1.69000","8.66020","2.88885"
"1.71600","8.79021","2.91366"
"1.74200","8.92018","2.92469"
"1.76800","9.05020","2.94313"
"1.79400","9.18021","2.96166"
"1.82000","9.31018","2.98081"
"1.84600","9.44025","3.00048"
"1.87200","9.57016","3.01687"
"1.89800","9.70018","3.04184"
"1.92400","9.83020","3.08557"
"1.95000","9.96016","3.12619"
"1.95800","10.00012","3.13321"
