General : End date,"11/8/2022 12:43 PM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"300.00000",mm/min
General : Start date,"11/8/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.28634","0.02864"
"0.02600","0.32250","0.06238"
"0.05200","0.43452","0.13104"
"0.07800","0.59400","0.22407"
"0.10400","0.75702","0.32173"
"0.13000","0.91055","0.44001"
"0.15600","1.05514","0.54657"
"0.18200","1.19389","0.63604"
"0.20800","1.32905","0.71944"
"0.23400","1.46207","0.80095"
"0.26000","1.59380","0.88076"
"0.28600","1.72489","0.94970"
"0.31200","1.85550","1.02994"
"0.33800","1.98584","1.09533"
"0.36400","2.11607","1.16690"
"0.39000","2.24620","1.22777"
"0.41600","2.37627","1.29073"
"0.44200","2.50634","1.35383"
"0.46800","2.63636","1.41275"
"0.49400","2.76632","1.47997"
"0.52000","2.89634","1.54445"
"0.54600","3.02636","1.60751"
"0.57200","3.15637","1.65161"
"0.59800","3.28634","1.70547"
"0.62400","3.41636","1.77284"
"0.65000","3.54632","1.82780"
"0.67600","3.67634","1.88256"
"0.70200","3.80636","1.94298"
"0.72800","3.93638","1.99015"
"0.75400","4.06639","2.04467"
"0.78000","4.19636","2.08804"
"0.80600","4.32638","2.13832"
"0.83200","4.45634","2.19008"
"0.85800","4.58630","2.22784"
"0.88400","4.71632","2.26330"
"0.91000","4.84634","2.30166"
"0.93600","4.97641","2.34226"
"0.96200","5.10638","2.37805"
"0.98800","5.23634","2.42513"
"1.01400","5.36636","2.45472"
"1.04000","5.49632","2.49385"
"1.06600","5.62634","2.51957"
"1.09200","5.75641","2.55108"
"1.11800","5.88637","2.56775"
"1.14400","6.01639","2.56406"
"1.17000","6.14636","2.55259"
"1.19600","6.27632","2.57738"
"1.22200","6.40634","2.60702"
"1.24800","6.53636","2.65110"
"1.27400","6.66637","2.67423"
"1.30000","6.79634","2.70545"
"1.32600","6.92641","2.71999"
"1.35200","7.05638","2.74087"
"1.37800","7.18634","2.77190"
"1.40400","7.31641","2.79247"
"1.43000","7.44637","2.82123"
"1.45600","7.57639","2.84264"
"1.48200","7.70641","2.86514"
"1.50800","7.83638","2.87857"
"1.53400","7.96634","2.88257"
"1.56000","8.09636","2.90105"
"1.58600","8.22637","2.90836"
"1.61200","8.35639","2.93555"
"1.63800","8.48641","2.96180"
"1.66400","8.61643","2.97166"
"1.69000","8.74639","2.97367"
"1.71600","8.87636","2.99203"
"1.74200","9.00638","3.02814"
"1.76800","9.13634","3.04024"
"1.79400","9.26636","3.04490"
"1.82000","9.39637","3.05749"
"1.84600","9.52634","3.08227"
"1.87200","9.65636","3.11375"
"1.89800","9.78632","3.14714"
"1.92400","9.91634","3.15983"
"1.94200","10.00634","3.16926"
