General : End date,"11/8/2022 12:41 PM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"60.00000",mm/min
General : Start date,"11/8/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.30123","0.03639"
"0.02600","0.30937","0.02805"
"0.05200","0.33471","0.04617"
"0.07800","0.36659","0.07102"
"0.10400","0.39804","0.09612"
"0.13000","0.42782","0.10767"
"0.15600","0.45605","0.12159"
"0.18200","0.48343","0.14641"
"0.20800","0.51011","0.16271"
"0.23400","0.53652","0.17126"
"0.26000","0.56271","0.17627"
"0.28600","0.58891","0.19944"
"0.31200","0.61505","0.21220"
"0.33800","0.64120","0.23091"
"0.36400","0.66723","0.25068"
"0.39000","0.69327","0.26652"
"0.41600","0.71920","0.28125"
"0.44200","0.74518","0.28319"
"0.46800","0.77111","0.30402"
"0.49400","0.79714","0.32053"
"0.52000","0.82318","0.32988"
"0.54600","0.84927","0.33638"
"0.57200","0.87520","0.35656"
"0.59800","0.90123","0.36694"
"0.62400","0.92721","0.38225"
"0.65000","0.95320","0.40107"
"0.67600","0.97913","0.40221"
"0.70200","1.00516","0.42639"
"0.72800","1.03120","0.43699"
"0.75400","1.05723","0.44186"
"0.78000","1.08327","0.45962"
"0.80600","1.10930","0.45777"
"0.83200","1.13523","0.48770"
"0.85800","1.16116","0.49900"
"0.88400","1.18714","0.50713"
"0.91000","1.21312","0.51639"
"0.93600","1.23916","0.54354"
"0.96200","1.26520","0.54937"
"0.98800","1.29129","0.55721"
"1.01400","1.31727","0.55923"
"1.04000","1.34325","0.57538"
"1.06600","1.36918","0.59356"
"1.09200","1.39516","0.60593"
"1.11800","1.42109","0.61335"
"1.14400","1.44712","0.61983"
"1.17000","1.47316","0.63767"
"1.19600","1.49925","0.64937"
"1.22200","1.52523","0.65379"
"1.24800","1.55132","0.67051"
"1.27400","1.57720","0.66902"
"1.30000","1.60323","0.69124"
"1.32600","1.62916","0.70089"
"1.35200","1.65514","0.71655"
"1.37800","1.68118","0.72101"
"1.40400","1.70727","0.72896"
"1.43000","1.73325","0.74484"
"1.45600","1.75929","0.75392"
"1.48200","1.78521","0.76863"
"1.50800","1.81120","0.78309"
"1.53400","1.83712","0.79627"
"1.56000","1.86316","0.79275"
"1.58600","1.88920","0.78996"
"1.61200","1.91529","0.79854"
"1.63800","1.94132","0.80237"
"1.66400","1.96730","0.81492"
"1.69000","1.99318","0.82876"
"1.71600","2.01916","0.84129"
"1.74200","2.04514","0.83149"
"1.76800","2.07113","0.83949"
"1.79400","2.09716","0.85358"
"1.82000","2.12320","0.85799"
"1.84600","2.14929","0.86197"
"1.87200","2.17527","0.86826"
"1.89800","2.20125","0.87635"
"1.92400","2.22718","0.89106"
"1.95000","2.25316","0.89174"
"1.97600","2.27909","0.91006"
"2.00200","2.30518","0.92939"
"2.02800","2.33121","0.93000"
"2.05400","2.35730","0.94231"
"2.08000","2.38329","0.95177"
"2.10600","2.40927","0.95309"
"2.13200","2.43520","0.96735"
"2.15800","2.46112","0.97906"
"2.18400","2.48705","0.98658"
"2.21000","2.51309","0.98758"
"2.23600","2.53918","0.98334"
"2.26200","2.56527","0.99418"
"2.28800","2.59125","0.99765"
"2.31400","2.61729","1.01274"
"2.34000","2.64321","1.01439"
"2.36600","2.66920","1.02200"
"2.39200","2.69513","1.03014"
"2.41800","2.72111","1.05272"
"2.44400","2.74714","1.06015"
"2.47000","2.77323","1.07244"
"2.49600","2.79927","1.07544"
"2.52200","2.82530","1.07531"
"2.54800","2.85123","1.08468"
"2.57400","2.87721","1.08927"
"2.60000","2.90314","1.08851"
"2.62600","2.92913","1.10268"
"2.65200","2.95516","1.11561"
"2.67800","2.98120","1.13591"
"2.70400","3.00729","1.12078"
"2.73000","3.03321","1.13135"
"2.75600","3.05925","1.15105"
"2.78200","3.08518","1.16058"
"2.80800","3.11116","1.16630"
"2.83400","3.13714","1.16445"
"2.86000","3.16318","1.17205"
"2.88600","3.18921","1.18497"
"2.91200","3.21530","1.19508"
"2.93800","3.24123","1.20129"
"2.96400","3.26727","1.19947"
"2.99000","3.29320","1.22492"
"3.01600","3.31918","1.23832"
"3.04200","3.34511","1.24276"
"3.06800","3.37114","1.25173"
"3.09400","3.39713","1.25549"
"3.12000","3.42327","1.26007"
"3.14600","3.44925","1.26948"
"3.17200","3.47529","1.27161"
"3.19800","3.50121","1.28539"
"3.22400","3.52720","1.29037"
"3.25000","3.55313","1.28897"
"3.27600","3.57911","1.29773"
"3.30200","3.60514","1.31404"
"3.32800","3.63123","1.31640"
"3.35400","3.65727","1.31578"
"3.38000","3.68325","1.33059"
"3.40600","3.70923","1.33231"
"3.43200","3.73521","1.33802"
"3.45800","3.76114","1.34693"
"3.48400","3.78713","1.34740"
"3.51000","3.81316","1.35244"
"3.53600","3.83920","1.36773"
"3.56200","3.86529","1.38053"
"3.58800","3.89127","1.37043"
"3.61400","3.91730","1.37047"
"3.64000","3.94318","1.37353"
"3.66600","3.96916","1.37496"
"3.69200","3.99514","1.38667"
"3.71800","4.02118","1.39301"
"3.74400","4.04716","1.40065"
"3.77000","4.07325","1.40720"
"3.79600","4.09923","1.41093"
"3.82200","4.12527","1.41712"
"3.84800","4.15120","1.42798"
"3.87400","4.17718","1.43812"
"3.90000","4.20311","1.43423"
