General : End date,"11/8/2022 12:55 PM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"480.00000",mm/min
General : Start date,"11/8/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.30509","0.03741"
"0.02600","0.34318","0.05843"
"0.05200","0.45793","0.13011"
"0.07800","0.64736","0.25007"
"0.10400","0.89534","0.41912"
"0.13000","1.16786","0.61227"
"0.15600","1.45066","0.82124"
"0.18200","1.71316","1.00461"
"0.20800","1.95016","1.16196"
"0.23400","2.17339","1.30733"
"0.26000","2.38971","1.43313"
"0.28600","2.60245","1.54840"
"0.31200","2.81320","1.65803"
"0.33800","3.02277","1.76150"
"0.36400","3.23175","1.86478"
"0.39000","3.44030","1.96572"
"0.41600","3.64859","2.05894"
"0.44200","3.85682","2.15750"
"0.46800","4.06495","2.24045"
"0.49400","4.27302","2.33653"
"0.52000","4.48098","2.42380"
"0.54600","4.68900","2.51071"
"0.57200","4.89702","2.58229"
"0.59800","5.10504","2.64041"
"0.62400","5.31305","2.72260"
"0.65000","5.52102","2.79152"
"0.67600","5.72904","2.83401"
"0.70200","5.93705","2.88908"
"0.72800","6.14507","2.95140"
"0.75400","6.35298","3.01889"
"0.78000","6.56100","3.06604"
"0.80600","6.76902","3.13383"
"0.83200","6.97709","3.18411"
"0.85800","7.18505","3.23384"
"0.88400","7.39307","3.29710"
"0.91000","7.60109","3.33833"
"0.93600","7.80911","3.38271"
"0.96200","8.01707","3.42090"
"0.98800","8.22504","3.45980"
"1.01400","8.43311","3.49008"
"1.04000","8.64112","3.54049"
"1.06600","8.84909","3.59313"
"1.09200","9.05705","3.63901"
"1.11800","9.26507","3.67544"
"1.14400","9.47309","3.72233"
"1.17000","9.68105","3.77486"
"1.19600","9.88907","3.81241"
"1.21000","10.00104","3.83288"
