General : End date,"10/18/2022 1:35 PM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"60.00000",mm/min
General : Start date,"10/18/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.24402","0.03065"
"0.02600","0.25227","0.03849"
"0.05200","0.27777","0.05325"
"0.07800","0.30959","0.05899"
"0.10400","0.34098","0.07252"
"0.13000","0.37066","0.07310"
"0.15600","0.39884","0.09451"
"0.18200","0.42616","0.10222"
"0.20800","0.45284","0.11066"
"0.23400","0.47930","0.11784"
"0.26000","0.50566","0.12439"
"0.28600","0.53186","0.13609"
"0.31200","0.55789","0.14391"
"0.33800","0.58393","0.15553"
"0.36400","0.60991","0.16678"
"0.39000","0.63589","0.17711"
"0.41600","0.66182","0.18302"
"0.44200","0.68791","0.17601"
"0.46800","0.71395","0.17791"
"0.49400","0.74009","0.19559"
"0.52000","0.76607","0.19970"
"0.54600","0.79205","0.21464"
"0.57200","0.81798","0.22134"
"0.59800","0.84396","0.21823"
"0.62400","0.86984","0.22308"
"0.65000","0.89593","0.24246"
"0.67600","0.92196","0.24740"
"0.70200","0.94805","0.24541"
"0.72800","0.97404","0.24285"
"0.75400","1.00007","0.24441"
"0.78000","1.02600","0.25914"
"0.80600","1.05198","0.26799"
"0.83200","1.07791","0.27927"
"0.85800","1.10395","0.28231"
"0.88400","1.12998","0.29008"
"0.91000","1.15602","0.29126"
"0.93600","1.18205","0.29232"
"0.96200","1.20804","0.29465"
"0.98800","1.23402","0.30746"
"1.01400","1.25995","0.31598"
"1.04000","1.28593","0.32552"
"1.06600","1.31191","0.32031"
"1.09200","1.33795","0.32959"
"1.11800","1.36398","0.34034"
"1.14400","1.39002","0.33668"
"1.17000","1.41600","0.34952"
"1.19600","1.44204","0.35082"
"1.22200","1.46796","0.36227"
"1.24800","1.49395","0.35935"
"1.27400","1.51982","0.36779"
"1.30000","1.54591","0.36844"
"1.32600","1.57195","0.37246"
"1.35200","1.59809","0.37203"
"1.37800","1.62402","0.36962"
"1.40400","1.65005","0.38789"
"1.43000","1.67598","0.40012"
"1.45600","1.70196","0.40264"
"1.48200","1.72789","0.40258"
"1.50800","1.75393","0.40390"
"1.53400","1.77996","0.40329"
"1.56000","1.80605","0.42077"
"1.58600","1.83204","0.42851"
"1.61200","1.85807","0.43521"
"1.63800","1.88400","0.43393"
"1.66400","1.90993","0.42626"
"1.69000","1.93591","0.43944"
"1.71600","1.96189","0.44217"
"1.74200","1.98798","0.43936"
"1.76800","2.01407","0.44775"
"1.79400","2.04005","0.46001"
"1.82000","2.06604","0.46388"
"1.84600","2.09202","0.46218"
"1.87200","2.11800","0.47372"
"1.89800","2.14393","0.47571"
"1.92400","2.16986","0.47702"
"1.95000","2.19595","0.47468"
"1.97600","2.22198","0.48926"
"2.00200","2.24802","0.48965"
"2.02800","2.27400","0.47664"
"2.05400","2.30004","0.49074"
"2.08000","2.32596","0.50039"
"2.10600","2.35195","0.51690"
"2.13200","2.37793","0.51693"
"2.15800","2.40396","0.51112"
"2.18400","2.42995","0.51449"
"2.21000","2.45604","0.52250"
"2.23600","2.48196","0.51187"
"2.26200","2.50805","0.51833"
"2.28800","2.53398","0.52090"
"2.31400","2.55996","0.53018"
"2.34000","2.58584","0.52810"
"2.36600","2.61193","0.54364"
"2.39200","2.63791","0.53943"
"2.41800","2.66405","0.54183"
"2.44400","2.69004","0.54208"
"2.47000","2.71607","0.54590"
"2.49600","2.74200","0.56122"
"2.52200","2.76793","0.56782"
"2.54800","2.79391","0.56958"
"2.57400","2.81989","0.56911"
"2.60000","2.84593","0.56674"
"2.62600","2.87202","0.57242"
"2.65200","2.89800","0.57596"
"2.67800","2.92404","0.58524"
"2.70400","2.95002","0.58514"
"2.73000","2.97595","0.59068"
"2.75600","3.00193","0.58863"
"2.78200","3.02791","0.58646"
"2.80800","3.05395","0.59576"
"2.83400","3.07998","0.58720"
"2.86000","3.10602","0.59845"
"2.88600","3.13200","0.59829"
"2.91200","3.15804","0.59784"
"2.93800","3.18396","0.61815"
"2.96400","3.20995","0.61265"
"2.99000","3.23593","0.60863"
"3.01600","3.26196","0.60447"
"3.04200","3.28795","0.60693"
"3.06800","3.31404","0.61321"
"3.09400","3.34002","0.62071"
"3.12000","3.36605","0.62330"
"3.14600","3.39193","0.62354"
"3.17200","3.41796","0.61829"
"3.19800","3.44384","0.61448"
"3.22400","3.46993","0.61986"
"3.25000","3.49591","0.63220"
"3.27600","3.52205","0.63146"
"3.30200","3.54804","0.63987"
"3.32800","3.57407","0.64524"
"3.35400","3.60000","0.63737"
"3.38000","3.62598","0.64094"
"3.40600","3.65191","0.64381"
"3.43200","3.67795","0.64567"
"3.45800","3.70393","0.65619"
"3.48400","3.73007","0.65669"
"3.51000","3.75600","0.66441"
"3.53600","3.78204","0.65705"
"3.56200","3.80802","0.65186"
"3.58800","3.83395","0.66607"
"3.61400","3.85993","0.65903"
"3.64000","3.88591","0.66304"
"3.66600","3.91195","0.65711"
"3.69200","3.93804","0.65443"
"3.71800","3.96407","0.65226"
"3.74400","3.99005","0.66808"
"3.77000","4.01604","0.67449"
"3.79600","4.04196","0.67460"
"3.82200","4.06795","0.67846"
"3.84800","4.09388","0.66356"
"3.87400","4.11991","0.65958"
"3.90000","4.14595","0.67222"
