General : End date,"11/4/2022 10:57 AM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"6.00000",mm/min
General : Start date,"11/4/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.05721","0.03967"
"0.02600","0.05759","0.03745"
"0.05200","0.05909","0.03749"
"0.07800","0.06182","0.05190"
"0.10400","0.06536","0.05453"
"0.13000","0.06889","0.04662"
"0.15600","0.07216","0.04505"
"0.18200","0.07511","0.04064"
"0.20800","0.07795","0.05082"
"0.23400","0.08068","0.04989"
"0.26000","0.08330","0.05241"
"0.28600","0.08604","0.04662"
"0.31200","0.08861","0.04277"
"0.33800","0.09118","0.04480"
"0.36400","0.09375","0.04654"
"0.39000","0.09637","0.04765"
"0.41600","0.09895","0.05370"
"0.44200","0.10152","0.05477"
"0.46800","0.10414","0.05110"
"0.49400","0.10677","0.05693"
"0.52000","0.10934","0.05126"
"0.54600","0.11196","0.05211"
"0.57200","0.11459","0.05890"
"0.59800","0.11716","0.05869"
"0.62400","0.11984","0.05500"
"0.65000","0.12246","0.05209"
"0.67600","0.12504","0.05383"
"0.70200","0.12761","0.05272"
"0.72800","0.13029","0.05080"
"0.75400","0.13286","0.05582"
"0.78000","0.13537","0.06309"
"0.80600","0.13800","0.06713"
"0.83200","0.14073","0.06485"
"0.85800","0.14320","0.07149"
"0.88400","0.14577","0.07012"
"0.91000","0.14839","0.05805"
"0.93600","0.15102","0.06075"
"0.96200","0.15348","0.05596"
"0.98800","0.15605","0.06843"
"1.01400","0.15873","0.07161"
"1.04000","0.16136","0.07975"
"1.06600","0.16387","0.06963"
"1.09200","0.16655","0.06725"
"1.11800","0.16913","0.06403"
"1.14400","0.17180","0.07935"
"1.17000","0.17437","0.07372"
"1.19600","0.17705","0.06890"
"1.22200","0.17963","0.07950"
"1.24800","0.18230","0.07696"
"1.27400","0.18487","0.07725"
"1.30000","0.18739","0.07805"
"1.32600","0.18996","0.07619"
"1.35200","0.19270","0.07986"
"1.37800","0.19521","0.07445"
"1.40400","0.19779","0.08072"
"1.43000","0.20036","0.08880"
"1.45600","0.20304","0.08665"
"1.48200","0.20550","0.08177"
"1.50800","0.20807","0.08710"
"1.53400","0.21075","0.08377"
"1.56000","0.21343","0.08614"
"1.58600","0.21589","0.08134"
"1.61200","0.21857","0.08866"
"1.63800","0.22120","0.09261"
"1.66400","0.22382","0.09998"
"1.69000","0.22645","0.09674"
"1.71600","0.22907","0.09357"
"1.74200","0.23170","0.09076"
"1.76800","0.23427","0.08667"
"1.79400","0.23689","0.08636"
"1.82000","0.23946","0.08452"
"1.84600","0.24204","0.09781"
"1.87200","0.24466","0.09913"
"1.89800","0.24729","0.10110"
"1.92400","0.24980","0.10132"
"1.95000","0.25243","0.09946"
"1.97600","0.25505","0.10274"
"2.00200","0.25757","0.09801"
"2.02800","0.26009","0.09489"
"2.05400","0.26277","0.09988"
"2.08000","0.26539","0.10850"
"2.10600","0.26796","0.11026"
"2.13200","0.27054","0.10774"
"2.15800","0.27327","0.10887"
"2.18400","0.27579","0.10871"
"2.21000","0.27841","0.10782"
"2.23600","0.28109","0.10603"
"2.26200","0.28377","0.11448"
"2.28800","0.28629","0.10765"
"2.31400","0.28886","0.10405"
"2.34000","0.29154","0.09860"
"2.36600","0.29411","0.10416"
"2.39200","0.29662","0.11006"
"2.41800","0.29930","0.11157"
"2.44400","0.30182","0.11210"
"2.47000","0.30445","0.11639"
"2.49600","0.30702","0.11752"
"2.52200","0.30964","0.12206"
"2.54800","0.31216","0.12046"
"2.57400","0.31479","0.12480"
"2.60000","0.31736","0.12529"
"2.62600","0.31998","0.12598"
"2.65200","0.32250","0.12281"
"2.67800","0.32523","0.13053"
"2.70400","0.32780","0.12051"
"2.73000","0.33043","0.12522"
"2.75600","0.33300","0.13833"
"2.78200","0.33573","0.14039"
"2.80800","0.33825","0.12996"
"2.83400","0.34082","0.12512"
"2.86000","0.34345","0.13392"
"2.88600","0.34607","0.13646"
"2.91200","0.34854","0.12888"
"2.93800","0.35121","0.12389"
"2.96400","0.35389","0.12191"
"2.99000","0.35641","0.12810"
"3.01600","0.35898","0.14738"
"3.04200","0.36155","0.14762"
"3.06800","0.36423","0.14017"
"3.09400","0.36680","0.13468"
"3.12000","0.36932","0.13381"
"3.14600","0.37195","0.14846"
"3.17200","0.37457","0.15661"
"3.19800","0.37714","0.14383"
"3.22400","0.37971","0.14008"
"3.25000","0.38234","0.14894"
"3.27600","0.38496","0.14265"
"3.30200","0.38759","0.14838"
"3.32800","0.39021","0.14975"
"3.35400","0.39279","0.15323"
"3.38000","0.39546","0.14866"
"3.40600","0.39804","0.15574"
"3.43200","0.40061","0.15490"
"3.45800","0.40318","0.16101"
"3.48400","0.40586","0.15965"
"3.51000","0.40848","0.15468"
"3.53600","0.41100","0.15254"
"3.56200","0.41357","0.15951"
"3.58800","0.41625","0.14292"
"3.61400","0.41882","0.13404"
"3.64000","0.42129","0.12702"
"3.66600","0.42386","0.11145"
"3.69200","0.42659","0.11165"
"3.71800","0.42916","0.11774"
"3.74400","0.43173","0.11107"
"3.77000","0.43436","0.10252"
"3.79600","0.43698","0.10342"
"3.82200","0.43955","0.10049"
"3.84800","0.44223","0.09478"
"3.87400","0.44480","0.08801"
"3.90000","0.44748","0.09924"
