General : End date,"11/4/2022 11:21 AM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"480.00000",mm/min
General : Start date,"11/4/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.55623","0.03515"
"0.02600","0.59464","0.06508"
"0.05200","0.70971","0.14172"
"0.07800","0.89963","0.23192"
"0.10400","1.14761","0.34540"
"0.13000","1.41943","0.49278"
"0.15600","1.70148","0.65232"
"0.18200","1.96409","0.79013"
"0.20800","2.20125","0.92027"
"0.23400","2.42443","1.04619"
"0.26000","2.64075","1.15398"
"0.28600","2.85354","1.25979"
"0.31200","3.06434","1.35033"
"0.33800","3.27391","1.42969"
"0.36400","3.48284","1.51011"
"0.39000","3.69139","1.57797"
"0.41600","3.89973","1.65260"
"0.44200","4.10791","1.72194"
"0.46800","4.31604","1.78541"
"0.49400","4.52411","1.85869"
"0.52000","4.73212","1.92939"
"0.54600","4.94014","1.99950"
"0.57200","5.14816","2.07927"
"0.59800","5.35618","2.14989"
"0.62400","5.56414","2.22125"
"0.65000","5.77216","2.30301"
"0.67600","5.98018","2.37048"
"0.70200","6.18820","2.46658"
"0.72800","6.39616","2.55848"
"0.75400","6.60423","2.63171"
"0.78000","6.81220","2.71560"
"0.80600","7.02021","2.82403"
"0.83200","7.22813","2.95223"
"0.85800","7.43620","3.08122"
"0.88400","7.64421","3.21562"
"0.91000","7.85223","3.35144"
"0.93600","8.06020","3.50805"
"0.96200","8.26822","3.65970"
"0.98800","8.47628","3.79413"
"1.01400","8.68420","3.93819"
"1.04000","8.89221","4.07317"
"1.06600","9.10018","4.20869"
"1.09200","9.30825","4.32970"
"1.11800","9.51621","4.43909"
"1.14400","9.72418","4.53045"
"1.17000","9.93220","4.61979"
"1.18000","10.01223","4.65474"
