General : End date,"11/4/2022 11:14 AM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"300.00000",mm/min
General : Start date,"11/4/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.41850","0.05436"
"0.02600","0.45439","0.05948"
"0.05200","0.56625","0.12004"
"0.07800","0.72627","0.18538"
"0.10400","0.88950","0.25655"
"0.13000","1.04293","0.34123"
"0.15600","1.18752","0.43819"
"0.18200","1.32616","0.51139"
"0.20800","1.46121","0.58208"
"0.23400","1.59418","0.65307"
"0.26000","1.72596","0.71461"
"0.28600","1.85695","0.77417"
"0.31200","1.98761","0.85023"
"0.33800","2.11795","0.90693"
"0.36400","2.24812","0.95943"
"0.39000","2.37825","1.00876"
"0.41600","2.50832","1.06685"
"0.44200","2.63839","1.10898"
"0.46800","2.76846","1.13181"
"0.49400","2.89848","1.13569"
"0.52000","3.02850","1.11100"
"0.54600","3.15846","1.09514"
"0.57200","3.28848","1.13468"
"0.59800","3.41845","1.18926"
"0.62400","3.54846","1.24157"
"0.65000","3.67848","1.27724"
"0.67600","3.80845","1.31904"
"0.70200","3.93846","1.33999"
"0.72800","4.06848","1.37111"
"0.75400","4.19845","1.40826"
"0.78000","4.32846","1.44763"
"0.80600","4.45848","1.48731"
"0.83200","4.58845","1.53107"
"0.85800","4.71852","1.56242"
"0.88400","4.84848","1.61462"
"0.91000","4.97845","1.65367"
"0.93600","5.10846","1.69671"
"0.96200","5.23838","1.75333"
"0.98800","5.36845","1.79117"
"1.01400","5.49841","1.84073"
"1.04000","5.62848","1.87138"
"1.06600","5.75845","1.91954"
"1.09200","5.88846","1.96920"
"1.11800","6.01848","2.01519"
"1.14400","6.14839","2.06570"
"1.17000","6.27846","2.11691"
"1.19600","6.40848","2.17066"
"1.22200","6.53845","2.23374"
"1.24800","6.66846","2.29567"
"1.27400","6.79843","2.35452"
"1.30000","6.92839","2.42262"
"1.32600","7.05841","2.49802"
"1.35200","7.18843","2.56641"
"1.37800","7.31850","2.62442"
"1.40400","7.44852","2.69404"
"1.43000","7.57854","2.76658"
"1.45600","7.70850","2.85182"
"1.48200","7.83841","2.92887"
"1.50800","7.96848","3.00865"
"1.53400","8.09850","3.09916"
"1.56000","8.22846","3.19093"
"1.58600","8.35854","3.28684"
"1.61200","8.48845","3.35719"
"1.63800","8.61841","3.45069"
"1.66400","8.74843","3.54914"
"1.69000","8.87845","3.63863"
"1.71600","9.00852","3.73690"
"1.74200","9.13848","3.82550"
"1.76800","9.26850","3.91522"
"1.79400","9.39846","4.00644"
"1.82000","9.52843","4.10402"
"1.84600","9.65845","4.19716"
"1.87200","9.78841","4.27184"
"1.89800","9.91843","4.34433"
"1.91600","10.00843","4.38538"
