General : End date,"11/4/2022 10:49 AM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"6.00000",mm/min
General : Start date,"11/4/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","0.22725","0.03032"
"0.02600","0.22762","0.03573"
"0.05200","0.22902","0.03972"
"0.07800","0.23191","0.03128"
"0.10400","0.23545","0.03178"
"0.13000","0.23898","0.04448"
"0.15600","0.24209","0.04433"
"0.18200","0.24509","0.03412"
"0.20800","0.24793","0.03855"
"0.23400","0.25061","0.04467"
"0.26000","0.25334","0.04123"
"0.28600","0.25596","0.02713"
"0.31200","0.25848","0.03867"
"0.33800","0.26105","0.03479"
"0.36400","0.26379","0.04246"
"0.39000","0.26636","0.05215"
"0.41600","0.26893","0.04632"
"0.44200","0.27155","0.04751"
"0.46800","0.27429","0.05381"
"0.49400","0.27675","0.06370"
"0.52000","0.27948","0.05168"
"0.54600","0.28211","0.04568"
"0.57200","0.28473","0.05039"
"0.59800","0.28725","0.05163"
"0.62400","0.28993","0.04945"
"0.65000","0.29250","0.05827"
"0.67600","0.29507","0.05805"
"0.70200","0.29764","0.04644"
"0.72800","0.30027","0.04499"
"0.75400","0.30284","0.05270"
"0.78000","0.30541","0.05656"
"0.80600","0.30804","0.05095"
"0.83200","0.31061","0.04820"
"0.85800","0.31318","0.05028"
"0.88400","0.31575","0.06026"
"0.91000","0.31832","0.06611"
"0.93600","0.32095","0.06706"
"0.96200","0.32357","0.06124"
"0.98800","0.32620","0.06266"
"1.01400","0.32877","0.06293"
"1.04000","0.33139","0.07255"
"1.06600","0.33407","0.06216"
"1.09200","0.33670","0.06198"
"1.11800","0.33921","0.06398"
"1.14400","0.34179","0.06455"
"1.17000","0.34446","0.07073"
"1.19600","0.34698","0.06117"
"1.22200","0.34955","0.06625"
"1.24800","0.35218","0.07410"
"1.27400","0.35491","0.08763"
"1.30000","0.35738","0.07805"
"1.32600","0.36000","0.07285"
"1.35200","0.36257","0.07838"
"1.37800","0.36525","0.07610"
"1.40400","0.36771","0.07181"
"1.43000","0.37029","0.08446"
"1.45600","0.37296","0.08530"
"1.48200","0.37559","0.08235"
"1.50800","0.37811","0.08525"
"1.53400","0.38073","0.07907"
"1.56000","0.38330","0.07808"
"1.58600","0.38604","0.08046"
"1.61200","0.38855","0.08675"
"1.63800","0.39118","0.08870"
"1.66400","0.39380","0.09316"
"1.69000","0.39648","0.08689"
"1.71600","0.39905","0.08995"
"1.74200","0.40157","0.09373"
"1.76800","0.40414","0.10169"
"1.79400","0.40693","0.10364"
"1.82000","0.40945","0.10369"
"1.84600","0.41202","0.09794"
"1.87200","0.41459","0.09894"
"1.89800","0.41727","0.09630"
"1.92400","0.41973","0.09961"
"1.95000","0.42230","0.10503"
"1.97600","0.42493","0.09446"
"2.00200","0.42761","0.09934"
"2.02800","0.43012","0.09751"
"2.05400","0.43275","0.09631"
"2.08000","0.43532","0.09913"
"2.10600","0.43795","0.10683"
"2.13200","0.44057","0.10173"
"2.15800","0.44320","0.11212"
"2.18400","0.44582","0.10250"
"2.21000","0.44845","0.09763"
"2.23600","0.45107","0.10545"
"2.26200","0.45364","0.10463"
"2.28800","0.45621","0.10967"
"2.31400","0.45884","0.11958"
"2.34000","0.46146","0.11812"
"2.36600","0.46398","0.12152"
"2.39200","0.46666","0.11388"
"2.41800","0.46923","0.11820"
"2.44400","0.47180","0.12115"
"2.47000","0.47432","0.11837"
"2.49600","0.47695","0.11646"
"2.52200","0.47957","0.10958"
"2.54800","0.48214","0.11139"
"2.57400","0.48471","0.12098"
"2.60000","0.48745","0.13449"
"2.62600","0.48996","0.12578"
"2.65200","0.49264","0.11797"
"2.67800","0.49527","0.12911"
"2.70400","0.49795","0.13175"
"2.73000","0.50046","0.11732"
"2.75600","0.50309","0.11457"
"2.78200","0.50571","0.12606"
"2.80800","0.50829","0.13043"
"2.83400","0.51080","0.12652"
"2.86000","0.51343","0.12329"
"2.88600","0.51605","0.12212"
"2.91200","0.51868","0.13134"
"2.93800","0.52120","0.12624"
"2.96400","0.52382","0.13383"
"2.99000","0.52634","0.13627"
"3.01600","0.52896","0.12965"
"3.04200","0.53154","0.12640"
"3.06800","0.53416","0.13289"
"3.09400","0.53673","0.14066"
"3.12000","0.53941","0.13817"
"3.14600","0.54198","0.14400"
"3.17200","0.54461","0.14371"
"3.19800","0.54723","0.14156"
"3.22400","0.54991","0.15054"
"3.25000","0.55248","0.14335"
"3.27600","0.55505","0.12977"
"3.30200","0.55763","0.14961"
"3.32800","0.56030","0.15751"
"3.35400","0.56277","0.15355"
"3.38000","0.56539","0.15004"
"3.40600","0.56802","0.14242"
"3.43200","0.57064","0.14949"
"3.45800","0.57316","0.15475"
"3.48400","0.57579","0.15115"
"3.51000","0.57841","0.15979"
"3.53600","0.58098","0.15820"
"3.56200","0.58350","0.15170"
"3.58800","0.58618","0.15967"
"3.61400","0.58880","0.15587"
"3.64000","0.59137","0.16000"
"3.66600","0.59395","0.15401"
"3.69200","0.59657","0.16027"
"3.71800","0.59920","0.16588"
"3.74400","0.60182","0.17446"
"3.77000","0.60445","0.16580"
"3.79600","0.60702","0.16212"
"3.82200","0.60964","0.16612"
"3.84800","0.61227","0.16093"
"3.87400","0.61479","0.15918"
"3.90000","0.61736","0.16271"
