General : End date,"11/4/2022 10:53 AM"
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"6.00000",mm/min
General : Start date,"11/4/2022"

Time,Extension,Load
(s),(mm),(kgf)
"0.00000","-0.06504","0.04464"
"0.02600","-0.06461","0.04922"
"0.05200","-0.06316","0.05792"
"0.07800","-0.06043","0.04676"
"0.10400","-0.05689","0.03514"
"0.13000","-0.05341","0.03665"
"0.15600","-0.05025","0.04670"
"0.18200","-0.04720","0.05098"
"0.20800","-0.04441","0.04112"
"0.23400","-0.04157","0.04316"
"0.26000","-0.03895","0.05197"
"0.28600","-0.03627","0.05240"
"0.31200","-0.03364","0.06109"
"0.33800","-0.03102","0.04922"
"0.36400","-0.02845","0.04037"
"0.39000","-0.02587","0.03863"
"0.41600","-0.02325","0.05684"
"0.44200","-0.02057","0.06069"
"0.46800","-0.01805","0.06196"
"0.49400","-0.01548","0.06000"
"0.52000","-0.01286","0.05701"
"0.54600","-0.01023","0.07286"
"0.57200","-0.00777","0.05689"
"0.59800","-0.00520","0.05509"
"0.62400","-0.00246","0.05695"
"0.65000","0.00011","0.05427"
"0.67600","0.00268","0.06798"
"0.70200","0.00530","0.06570"
"0.72800","0.00798","0.05686"
"0.75400","0.01055","0.06500"
"0.78000","0.01318","0.06289"
"0.80600","0.01575","0.05983"
"0.83200","0.01843","0.06415"
"0.85800","0.02100","0.07007"
"0.88400","0.02362","0.06988"
"0.91000","0.02614","0.08024"
"0.93600","0.02877","0.07647"
"0.96200","0.03139","0.07296"
"0.98800","0.03396","0.07346"
"1.01400","0.03648","0.06682"
"1.04000","0.03916","0.06853"
"1.06600","0.04173","0.08453"
"1.09200","0.04436","0.08430"
"1.11800","0.04687","0.07833"
"1.14400","0.04955","0.08155"
"1.17000","0.05212","0.08494"
"1.19600","0.05470","0.08323"
"1.22200","0.05732","0.07918"
"1.24800","0.06005","0.08180"
"1.27400","0.06257","0.08428"
"1.30000","0.06520","0.08094"
"1.32600","0.06782","0.08335"
"1.35200","0.07050","0.08882"
"1.37800","0.07302","0.09837"
"1.40400","0.07564","0.08847"
"1.43000","0.07827","0.08895"
"1.45600","0.08079","0.09208"
"1.48200","0.08336","0.09536"
"1.50800","0.08604","0.09501"
"1.53400","0.08861","0.08814"
"1.56000","0.09118","0.10473"
"1.58600","0.09375","0.10364"
"1.61200","0.09637","0.09815"
"1.63800","0.09895","0.10451"
"1.66400","0.10152","0.11380"
"1.69000","0.10409","0.10668"
"1.71600","0.10671","0.10414"
"1.74200","0.10929","0.10991"
"1.76800","0.11191","0.09678"
"1.79400","0.11454","0.10833"
"1.82000","0.11716","0.11439"
"1.84600","0.11984","0.10337"
"1.87200","0.12241","0.11446"
"1.89800","0.12498","0.11219"
"1.92400","0.12755","0.10660"
"1.95000","0.13023","0.10926"
"1.97600","0.13280","0.11553"
"2.00200","0.13532","0.11709"
"2.02800","0.13795","0.11034"
"2.05400","0.14068","0.11712"
"2.08000","0.14314","0.11524"
"2.10600","0.14571","0.12274"
"2.13200","0.14834","0.11751"
"2.15800","0.15102","0.11728"
"2.18400","0.15343","0.11282"
"2.21000","0.15600","0.12287"
"2.23600","0.15868","0.12140"
"2.26200","0.16136","0.12033"
"2.28800","0.16387","0.11088"
"2.31400","0.16650","0.12257"
"2.34000","0.16907","0.12625"
"2.36600","0.17180","0.12826"
"2.39200","0.17432","0.13269"
"2.41800","0.17700","0.13043"
"2.44400","0.17957","0.13789"
"2.47000","0.18225","0.12998"
"2.49600","0.18482","0.13328"
"2.52200","0.18739","0.13450"
"2.54800","0.18991","0.13341"
"2.57400","0.19270","0.13917"
"2.60000","0.19516","0.14190"
"2.62600","0.19773","0.13592"
"2.65200","0.20030","0.14494"
"2.67800","0.20298","0.14421"
"2.70400","0.20545","0.13808"
"2.73000","0.20802","0.13608"
"2.75600","0.21064","0.14282"
"2.78200","0.21338","0.14290"
"2.80800","0.21589","0.13705"
"2.83400","0.21852","0.13488"
"2.86000","0.22114","0.15509"
"2.88600","0.22377","0.15468"
"2.91200","0.22639","0.14982"
"2.93800","0.22902","0.14579"
"2.96400","0.23164","0.14904"
"2.99000","0.23421","0.14927"
"3.01600","0.23684","0.14728"
"3.04200","0.23941","0.16066"
"3.06800","0.24198","0.15296"
"3.09400","0.24461","0.14973"
"3.12000","0.24723","0.14814"
"3.14600","0.24975","0.15434"
"3.17200","0.25238","0.14832"
"3.19800","0.25500","0.15416"
"3.22400","0.25752","0.15992"
"3.25000","0.26009","0.15137"
"3.27600","0.26271","0.15487"
"3.30200","0.26534","0.16066"
"3.32800","0.26791","0.16190"
"3.35400","0.27048","0.15508"
"3.38000","0.27321","0.15721"
"3.40600","0.27573","0.15476"
"3.43200","0.27836","0.16871"
"3.45800","0.28104","0.16742"
"3.48400","0.28371","0.15959"
"3.51000","0.28623","0.16261"
"3.53600","0.28880","0.16642"
"3.56200","0.29148","0.16413"
"3.58800","0.29405","0.16799"
"3.61400","0.29657","0.17396"
"3.64000","0.29925","0.16614"
"3.66600","0.30177","0.16178"
"3.69200","0.30439","0.16441"
"3.71800","0.30696","0.15883"
"3.74400","0.30959","0.16216"
"3.77000","0.31211","0.16694"
"3.79600","0.31473","0.17868"
"3.82200","0.31730","0.18067"
"3.84800","0.31993","0.18217"
"3.87400","0.32250","0.18859"
